event_id,meeting_date,central_bank,event_type,source,n_sentences,n_hawk,n_dove,n_neutral,n_stance,bert_score,bert_label,n_sentences_fwd,n_hawk_fwd,n_dove_fwd,n_stance_fwd,bert_score_fwd,bert_label_fwd
ecb_pressconf_19990107,1999-01-07,ECB,press_conference,ecb_press_conferences,141,8,25,108,33,-0.3953488372093023,dovish,42,2,7,9,-0.2631578947368421,dovish
ecb_pressconf_19990204,1999-02-04,ECB,press_conference,ecb_press_conferences,121,14,23,84,37,-0.19148936170212766,dovish,48,7,5,12,0.09090909090909091,hawkish
ecb_pressconf_19990304,1999-03-04,ECB,press_conference,ecb_press_conferences,160,15,33,112,48,-0.3103448275862069,dovish,43,3,12,15,-0.36,dovish
ecb_pressconf_19990408,1999-04-08,ECB,press_conference,ecb_press_conferences,105,13,31,61,44,-0.3333333333333333,dovish,37,7,12,19,-0.1724137931034483,dovish
ecb_pressconf_19990506,1999-05-06,ECB,press_conference,ecb_press_conferences,102,5,15,82,20,-0.3333333333333333,dovish,29,1,6,7,-0.29411764705882354,dovish
ecb_pressconf_19990715,1999-07-15,ECB,press_conference,ecb_press_conferences,168,26,23,119,49,0.05084745762711865,hawkish,56,9,10,19,-0.034482758620689655,neutral
ecb_pressconf_19990909,1999-09-09,ECB,press_conference,ecb_press_conferences,166,22,20,124,42,0.038461538461538464,neutral,63,11,7,18,0.14285714285714285,hawkish
ecb_pressconf_19991007,1999-10-07,ECB,press_conference,ecb_press_conferences,132,31,19,82,50,0.2,hawkish,46,14,6,20,0.26666666666666666,hawkish
ecb_pressconf_19991104,1999-11-04,ECB,press_conference,ecb_press_conferences,162,41,31,90,72,0.12195121951219512,hawkish,55,17,15,32,0.047619047619047616,neutral
ecb_pressconf_19991202,1999-12-02,ECB,press_conference,ecb_press_conferences,133,24,13,96,37,0.23404255319148937,hawkish,54,11,8,19,0.10344827586206896,hawkish
ecb_pressconf_20000203,2000-02-03,ECB,press_conference,ecb_press_conferences,129,33,26,70,59,0.10144927536231885,hawkish,45,16,13,29,0.07692307692307693,hawkish
ecb_pressconf_20000302,2000-03-02,ECB,press_conference,ecb_press_conferences,156,29,26,101,55,0.046153846153846156,neutral,52,15,10,25,0.14285714285714285,hawkish
ecb_pressconf_20000330,2000-03-30,ECB,press_conference,ecb_press_conferences,178,25,34,119,59,-0.13043478260869565,dovish,56,13,11,24,0.058823529411764705,hawkish
ecb_pressconf_20000413,2000-04-13,ECB,press_conference,ecb_press_conferences,151,30,18,103,48,0.20689655172413793,hawkish,67,19,5,24,0.4117647058823529,hawkish
ecb_pressconf_20000511,2000-05-11,ECB,press_conference,ecb_press_conferences,138,14,23,101,37,-0.19148936170212766,dovish,44,8,13,21,-0.16129032258064516,dovish
ecb_pressconf_20000608,2000-06-08,ECB,press_conference,ecb_press_conferences,208,39,24,145,63,0.2054794520547945,hawkish,79,23,10,33,0.3023255813953488,hawkish
ecb_pressconf_20000706,2000-07-06,ECB,press_conference,ecb_press_conferences,117,17,13,87,30,0.1,hawkish,36,6,7,13,-0.043478260869565216,neutral
ecb_pressconf_20000914,2000-09-14,ECB,press_conference,ecb_press_conferences,198,27,36,135,63,-0.1232876712328767,dovish,55,14,10,24,0.11764705882352941,hawkish
ecb_pressconf_20001005,2000-10-05,ECB,press_conference,ecb_press_conferences,128,19,26,83,45,-0.12727272727272726,dovish,46,9,9,18,0,neutral
ecb_pressconf_20001019,2000-10-19,ECB,press_conference,ecb_press_conferences,137,16,31,90,47,-0.2631578947368421,dovish,44,5,12,17,-0.25925925925925924,dovish
ecb_pressconf_20001102,2000-11-02,ECB,press_conference,ecb_press_conferences,111,15,27,69,42,-0.23076923076923078,dovish,40,7,12,19,-0.1724137931034483,dovish
ecb_pressconf_20001214,2000-12-14,ECB,press_conference,ecb_press_conferences,148,16,24,108,40,-0.16,dovish,67,7,11,18,-0.14285714285714285,dovish
ecb_pressconf_20010201,2001-02-01,ECB,press_conference,ecb_press_conferences,126,4,25,97,29,-0.5384615384615384,dovish,48,1,11,12,-0.45454545454545453,dovish
