event_id,meeting_date,central_bank,event_type,source,n_sentences,n_hawk,n_dove,n_neutral,n_stance,bert_score,bert_label,n_sentences_fwd,n_hawk_fwd,n_dove_fwd,n_stance_fwd,bert_score_fwd,bert_label_fwd
ecb_stmt_19990107,1999-01-07,ECB,statement,ecb_statements,8,0,0,8,0,0,neutral,5,0,0,0,0,neutral
ecb_stmt_19990304,1999-03-04,ECB,statement,ecb_statements,6,0,0,6,0,0,neutral,4,0,0,0,0,neutral
ecb_stmt_19990408,1999-04-08,ECB,statement,ecb_statements,2,0,0,2,0,0,neutral,1,0,0,0,0,neutral
ecb_stmt_19990506,1999-05-06,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_19990617,1999-06-17,ECB,statement,ecb_statements,2,0,0,2,0,0,neutral,1,0,0,0,0,neutral
ecb_stmt_19990909,1999-09-09,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_19991007,1999-10-07,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_19991104,1999-11-04,ECB,statement,ecb_statements,2,0,0,2,0,0,neutral,1,0,0,0,0,neutral
ecb_stmt_19991202,1999-12-02,ECB,statement,ecb_statements,2,0,0,2,0,0,neutral,1,0,0,0,0,neutral
ecb_stmt_20000120,2000-01-20,ECB,statement,ecb_statements,4,0,0,4,0,0,neutral,3,0,0,0,0,neutral
ecb_stmt_20000203,2000-02-03,ECB,statement,ecb_statements,5,3,0,2,3,0.23076923076923078,hawkish,4,3,0,3,0.23076923076923078,hawkish
ecb_stmt_20000316,2000-03-16,ECB,statement,ecb_statements,16,8,3,5,11,0.23809523809523808,hawkish,11,7,2,9,0.2631578947368421,hawkish
ecb_stmt_20000413,2000-04-13,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20000511,2000-05-11,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20000608,2000-06-08,ECB,statement,ecb_statements,15,3,0,12,3,0.23076923076923078,hawkish,9,3,0,3,0.23076923076923078,hawkish
ecb_stmt_20000706,2000-07-06,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20000831,2000-08-31,ECB,statement,ecb_statements,16,10,2,4,12,0.36363636363636365,hawkish,10,7,1,8,0.3333333333333333,hawkish
ecb_stmt_20000905,2000-09-05,ECB,statement,ecb_statements,10,0,0,10,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20001005,2000-10-05,ECB,statement,ecb_statements,5,3,0,2,3,0.23076923076923078,hawkish,4,3,0,3,0.23076923076923078,hawkish
ecb_stmt_20001214,2000-12-14,ECB,statement,ecb_statements,4,0,0,4,0,0,neutral,3,0,0,0,0,neutral
ecb_stmt_20010201,2001-02-01,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20010315,2001-03-15,ECB,statement,ecb_statements,2,0,0,2,0,0,neutral,1,0,0,0,0,neutral
ecb_stmt_20010510,2001-05-10,ECB,statement,ecb_statements,2,0,0,2,0,0,neutral,1,0,0,0,0,neutral
ecb_stmt_20010607,2001-06-07,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20010705,2001-07-05,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20010830,2001-08-30,ECB,statement,ecb_statements,2,0,0,2,0,0,neutral,1,0,0,0,0,neutral
ecb_stmt_20010913,2001-09-13,ECB,statement,ecb_statements,10,0,2,8,2,-0.16666666666666666,dovish,4,0,0,0,0,neutral
ecb_stmt_20010917,2001-09-17,ECB,statement,ecb_statements,7,2,4,1,6,-0.125,dovish,3,1,2,3,-0.07692307692307693,dovish
ecb_stmt_20011108,2001-11-08,ECB,statement,ecb_statements,2,0,0,2,0,0,neutral,1,0,0,0,0,neutral
ecb_stmt_20011206,2001-12-06,ECB,statement,ecb_statements,2,0,0,2,0,0,neutral,1,0,0,0,0,neutral
ecb_stmt_20020110,2002-01-10,ECB,statement,ecb_statements,12,1,4,7,5,-0.2,dovish,2,0,2,2,-0.16666666666666666,dovish
ecb_stmt_20020207,2002-02-07,ECB,statement,ecb_statements,14,0,0,14,0,0,neutral,0,0,0,0,NA,neutral
ecb_stmt_20020307,2002-03-07,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20020404,2002-04-04,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20020502,2002-05-02,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20020606,2002-06-06,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20020704,2002-07-04,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20020801,2002-08-01,ECB,statement,ecb_statements,2,0,0,2,0,0,neutral,1,0,0,0,0,neutral
ecb_stmt_20020912,2002-09-12,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20021010,2002-10-10,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20021107,2002-11-07,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20021205,2002-12-05,ECB,statement,ecb_statements,2,0,0,2,0,0,neutral,1,0,0,0,0,neutral
ecb_stmt_20030123,2003-01-23,ECB,statement,ecb_statements,4,0,0,4,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20030206,2003-02-06,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20030306,2003-03-06,ECB,statement,ecb_statements,2,0,0,2,0,0,neutral,1,0,0,0,0,neutral
ecb_stmt_20030403,2003-04-03,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20030508,2003-05-08,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20030605,2003-06-05,ECB,statement,ecb_statements,2,0,0,2,0,0,neutral,1,0,0,0,0,neutral
ecb_stmt_20030710,2003-07-10,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20030904,2003-09-04,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20031002,2003-10-02,ECB,statement,ecb_statements,4,0,0,4,0,0,neutral,2,0,0,0,0,neutral
ecb_stmt_20031106,2003-11-06,ECB,statement,ecb_statements,3,0,0,3,0,0,neutral,2,0,0,0,0,neutral
