event_id,meeting_date,central_bank,event_type,source,n_sentences,n_hawk,n_dove,n_neutral,n_stance,bert_score,bert_label,n_sentences_fwd,n_hawk_fwd,n_dove_fwd,n_stance_fwd,bert_score_fwd,bert_label_fwd
fomc_presconf_20110427,2011-04-27,FOMC,press_conference,fomc_press_conferences,302,45,90,167,135,-0.3103448275862069,dovish,103,13,32,45,-0.34545454545454546,dovish
fomc_presconf_20110622,2011-06-22,FOMC,press_conference,fomc_press_conferences,234,24,54,156,78,-0.3409090909090909,dovish,112,12,29,41,-0.3333333333333333,dovish
fomc_presconf_20111102,2011-11-02,FOMC,press_conference,fomc_press_conferences,245,14,69,162,83,-0.5913978494623656,dovish,95,5,32,37,-0.574468085106383,dovish
fomc_presconf_20120125,2012-01-25,FOMC,press_conference,fomc_press_conferences,243,17,51,175,68,-0.4358974358974359,dovish,117,8,30,38,-0.4583333333333333,dovish
fomc_presconf_20120425,2012-04-25,FOMC,press_conference,fomc_press_conferences,226,25,59,142,84,-0.3617021276595745,dovish,84,9,28,37,-0.40425531914893614,dovish
fomc_presconf_20120620,2012-06-20,FOMC,press_conference,fomc_press_conferences,185,15,55,115,70,-0.5,dovish,69,7,25,32,-0.42857142857142855,dovish
fomc_presconf_20120913,2012-09-13,FOMC,press_conference,fomc_press_conferences,263,33,84,146,117,-0.4015748031496063,dovish,75,12,31,43,-0.3584905660377358,dovish
fomc_presconf_20121212,2012-12-12,FOMC,press_conference,fomc_press_conferences,308,29,74,205,103,-0.39823008849557523,dovish,143,15,34,49,-0.3220338983050847,dovish
fomc_presconf_20130320,2013-03-20,FOMC,press_conference,fomc_press_conferences,309,28,59,222,87,-0.31958762886597936,dovish,91,9,25,34,-0.36363636363636365,dovish
fomc_presconf_20130619,2013-06-19,FOMC,press_conference,fomc_press_conferences,258,30,55,173,85,-0.2631578947368421,dovish,105,12,28,40,-0.32,dovish
fomc_presconf_20130918,2013-09-18,FOMC,press_conference,fomc_press_conferences,277,32,74,171,106,-0.3620689655172414,dovish,101,12,38,50,-0.43333333333333335,dovish
fomc_presconf_20131218,2013-12-18,FOMC,press_conference,fomc_press_conferences,327,37,96,194,133,-0.4125874125874126,dovish,102,15,39,54,-0.375,dovish
fomc_presconf_20140319,2014-03-19,FOMC,press_conference,fomc_press_conferences,234,21,62,151,83,-0.44086021505376344,dovish,99,10,27,37,-0.3617021276595745,dovish
fomc_presconf_20140618,2014-06-18,FOMC,press_conference,fomc_press_conferences,181,19,54,108,73,-0.42168674698795183,dovish,92,11,30,41,-0.37254901960784315,dovish
fomc_presconf_20140917,2014-09-17,FOMC,press_conference,fomc_press_conferences,205,16,51,138,67,-0.45454545454545453,dovish,116,10,29,39,-0.3877551020408163,dovish
fomc_presconf_20141217,2014-12-17,FOMC,press_conference,fomc_press_conferences,224,31,49,144,80,-0.2,dovish,113,18,31,49,-0.22033898305084745,dovish
fomc_presconf_20150318,2015-03-18,FOMC,press_conference,fomc_press_conferences,210,24,56,130,80,-0.35555555555555557,dovish,99,14,32,46,-0.32142857142857145,dovish
fomc_presconf_20150617,2015-06-17,FOMC,press_conference,fomc_press_conferences,190,32,51,107,83,-0.20430107526881722,dovish,93,24,25,49,-0.01694915254237288,neutral
fomc_presconf_20150917,2015-09-17,FOMC,press_conference,fomc_press_conferences,236,38,74,124,112,-0.29508196721311475,dovish,131,23,50,73,-0.3253012048192771,dovish
fomc_presconf_20151216,2015-12-16,FOMC,press_conference,fomc_press_conferences,245,39,63,143,102,-0.21428571428571427,dovish,142,25,43,68,-0.23076923076923078,dovish
fomc_presconf_20160316,2016-03-16,FOMC,press_conference,fomc_press_conferences,218,29,57,132,86,-0.2916666666666667,dovish,93,14,25,39,-0.22448979591836735,dovish
fomc_presconf_20160615,2016-06-15,FOMC,press_conference,fomc_press_conferences,202,23,56,123,79,-0.3707865168539326,dovish,98,17,25,42,-0.15384615384615385,dovish
fomc_presconf_20160921,2016-09-21,FOMC,press_conference,fomc_press_conferences,242,35,72,135,107,-0.3162393162393162,dovish,100,18,26,44,-0.14814814814814814,dovish
fomc_presconf_20161214,2016-12-14,FOMC,press_conference,fomc_press_conferences,194,31,35,128,66,-0.05263157894736842,dovish,86,20,11,31,0.21951219512195122,hawkish
fomc_presconf_20170315,2017-03-15,FOMC,press_conference,fomc_press_conferences,235,33,46,156,79,-0.14606741573033707,dovish,104,15,19,34,-0.09090909090909091,dovish
fomc_presconf_20170614,2017-06-14,FOMC,press_conference,fomc_press_conferences,227,27,58,142,85,-0.3263157894736842,dovish,98,10,28,38,-0.375,dovish
fomc_presconf_20170920,2017-09-20,FOMC,press_conference,fomc_press_conferences,208,26,59,123,85,-0.3473684210526316,dovish,114,15,32,47,-0.2982456140350877,dovish
fomc_presconf_20171213,2017-12-13,FOMC,press_conference,fomc_press_conferences,248,46,49,153,95,-0.02857142857142857,neutral,117,22,20,42,0.038461538461538464,neutral
fomc_presconf_20180321,2018-03-21,FOMC,press_conference,fomc_press_conferences,271,46,33,192,79,0.14606741573033707,hawkish,84,22,7,29,0.38461538461538464,hawkish
fomc_presconf_20180613,2018-06-13,FOMC,press_conference,fomc_press_conferences,361,65,60,236,125,0.037037037037037035,neutral,87,22,9,31,0.3170731707317073,hawkish
fomc_presconf_20180926,2018-09-26,FOMC,press_conference,fomc_press_conferences,263,45,45,173,90,0,neutral,57,8,14,22,-0.1875,dovish
fomc_presconf_20181219,2018-12-19,FOMC,press_conference,fomc_press_conferences,265,44,51,170,95,-0.06666666666666667,dovish,91,22,24,46,-0.03571428571428571,neutral
fomc_presconf_20190130,2019-01-30,FOMC,press_conference,fomc_press_conferences,293,30,46,217,76,-0.18604651162790697,dovish,90,8,16,24,-0.23529411764705882,dovish
fomc_presconf_20190320,2019-03-20,FOMC,press_conference,fomc_press_conferences,278,27,50,201,77,-0.26436781609195403,dovish,88,10,16,26,-0.16666666666666666,dovish
fomc_presconf_20190501,2019-05-01,FOMC,press_conference,fomc_press_conferences,224,31,50,143,81,-0.2087912087912088,dovish,62,11,15,26,-0.1111111111111111,dovish
fomc_presconf_20190619,2019-06-19,FOMC,press_conference,fomc_press_conferences,266,30,69,167,99,-0.3577981651376147,dovish,77,10,19,29,-0.23076923076923078,dovish
fomc_presconf_20190731,2019-07-31,FOMC,press_conference,fomc_press_conferences,298,36,79,183,115,-0.344,dovish,87,12,28,40,-0.32,dovish
