event_id,meeting_date,central_bank,event_type,source,n_sentences,n_hawk,n_dove,n_neutral,n_stance,bert_score,bert_label,n_sentences_fwd,n_hawk_fwd,n_dove_fwd,n_stance_fwd,bert_score_fwd,bert_label_fwd
fomc_stmt_19940204,1994-02-04,FOMC,statement,fomc_statements,4,3,1,0,4,0.14285714285714285,hawkish,1,1,0,1,0.09090909090909091,hawkish
fomc_stmt_19940322,1994-03-22,FOMC,statement,fomc_statements,2,2,0,0,2,0.16666666666666666,hawkish,1,1,0,1,0.09090909090909091,hawkish
fomc_stmt_19940418,1994-04-18,FOMC,statement,fomc_statements,2,2,0,0,2,0.16666666666666666,hawkish,2,2,0,2,0.16666666666666666,hawkish
fomc_stmt_19940517,1994-05-17,FOMC,statement,fomc_statements,7,3,0,4,3,0.23076923076923078,hawkish,1,0,0,0,0,neutral
fomc_stmt_19940816,1994-08-16,FOMC,statement,fomc_statements,6,0,1,5,1,-0.09090909090909091,dovish,3,0,1,1,-0.09090909090909091,dovish
fomc_stmt_19941115,1994-11-15,FOMC,statement,fomc_statements,7,2,0,5,2,0.16666666666666666,hawkish,0,0,0,0,NA,neutral
fomc_stmt_19950201,1995-02-01,FOMC,statement,fomc_statements,7,3,0,4,3,0.23076923076923078,hawkish,1,0,0,0,0,neutral
fomc_stmt_19950706,1995-07-06,FOMC,statement,fomc_statements,3,0,3,0,3,-0.23076923076923078,dovish,1,0,1,1,-0.09090909090909091,dovish
fomc_stmt_19951219,1995-12-19,FOMC,statement,fomc_statements,3,0,3,0,3,-0.23076923076923078,dovish,2,0,2,2,-0.16666666666666666,dovish
fomc_stmt_19960131,1996-01-31,FOMC,statement,fomc_statements,1,0,0,1,0,0,neutral,0,0,0,0,NA,neutral
fomc_stmt_19970325,1997-03-25,FOMC,statement,fomc_statements,4,2,1,1,3,0.07692307692307693,hawkish,1,1,0,1,0.09090909090909091,hawkish
fomc_stmt_19980929,1998-09-29,FOMC,statement,fomc_statements,3,0,2,1,2,-0.16666666666666666,dovish,1,0,1,1,-0.09090909090909091,dovish
fomc_stmt_19981015,1998-10-15,FOMC,statement,fomc_statements,5,0,2,3,2,-0.16666666666666666,dovish,2,0,2,2,-0.16666666666666666,dovish
fomc_stmt_19981117,1998-11-17,FOMC,statement,fomc_statements,4,0,1,3,1,-0.09090909090909091,dovish,1,0,1,1,-0.09090909090909091,dovish
fomc_stmt_19990518,1999-05-18,FOMC,statement,fomc_statements,4,1,3,0,4,-0.14285714285714285,dovish,2,0,2,2,-0.16666666666666666,dovish
fomc_stmt_19990630,1999-06-30,FOMC,statement,fomc_statements,3,1,0,2,1,0.09090909090909091,hawkish,1,0,0,0,0,neutral
fomc_stmt_19990824,1999-08-24,FOMC,statement,fomc_statements,6,1,0,5,1,0.09090909090909091,hawkish,2,1,0,1,0.09090909090909091,hawkish
fomc_stmt_19991005,1999-10-05,FOMC,statement,fomc_statements,7,3,0,4,3,0.23076923076923078,hawkish,3,2,0,2,0.16666666666666666,hawkish
fomc_stmt_19991116,1999-11-16,FOMC,statement,fomc_statements,9,3,1,5,4,0.14285714285714285,hawkish,4,1,1,2,0,neutral
fomc_stmt_19991221,1999-12-21,FOMC,statement,fomc_statements,5,0,3,2,3,-0.23076923076923078,dovish,3,0,2,2,-0.16666666666666666,dovish
fomc_stmt_20000202,2000-02-02,FOMC,statement,fomc_statements,8,3,1,4,4,0.14285714285714285,hawkish,3,1,1,2,0,neutral
fomc_stmt_20000321,2000-03-21,FOMC,statement,fomc_statements,8,4,0,4,4,0.2857142857142857,hawkish,2,2,0,2,0.16666666666666666,hawkish
fomc_stmt_20000516,2000-05-16,FOMC,statement,fomc_statements,7,5,0,2,5,0.3333333333333333,hawkish,2,2,0,2,0.16666666666666666,hawkish
fomc_stmt_20000628,2000-06-28,FOMC,statement,fomc_statements,5,1,2,2,3,-0.07692307692307693,dovish,1,1,0,1,0.09090909090909091,hawkish
fomc_stmt_20000822,2000-08-22,FOMC,statement,fomc_statements,5,2,2,1,4,0,neutral,2,1,1,2,0,neutral
fomc_stmt_20001003,2000-10-03,FOMC,statement,fomc_statements,7,1,3,3,4,-0.14285714285714285,dovish,2,1,0,1,0.09090909090909091,hawkish
fomc_stmt_20001115,2000-11-15,FOMC,statement,fomc_statements,5,1,1,3,2,0,neutral,2,1,0,1,0.09090909090909091,hawkish
fomc_stmt_20001219,2000-12-19,FOMC,statement,fomc_statements,5,0,3,2,3,-0.23076923076923078,dovish,4,0,3,3,-0.23076923076923078,dovish
fomc_stmt_20010103,2001-01-03,FOMC,statement,fomc_statements,9,0,6,3,6,-0.375,dovish,3,0,3,3,-0.23076923076923078,dovish
fomc_stmt_20010131,2001-01-31,FOMC,statement,fomc_statements,10,1,7,2,8,-0.3333333333333333,dovish,2,0,2,2,-0.16666666666666666,dovish
fomc_stmt_20010320,2001-03-20,FOMC,statement,fomc_statements,9,0,6,3,6,-0.375,dovish,4,0,2,2,-0.16666666666666666,dovish
fomc_stmt_20010418,2001-04-18,FOMC,statement,fomc_statements,11,1,6,4,7,-0.29411764705882354,dovish,4,0,3,3,-0.23076923076923078,dovish
fomc_stmt_20010515,2001-05-15,FOMC,statement,fomc_statements,12,1,7,4,8,-0.3333333333333333,dovish,5,0,4,4,-0.2857142857142857,dovish
fomc_stmt_20010627,2001-06-27,FOMC,statement,fomc_statements,8,0,6,2,6,-0.375,dovish,2,0,2,2,-0.16666666666666666,dovish
fomc_stmt_20010821,2001-08-21,FOMC,statement,fomc_statements,8,0,6,2,6,-0.375,dovish,2,0,2,2,-0.16666666666666666,dovish
fomc_stmt_20010917,2001-09-17,FOMC,statement,fomc_statements,9,0,6,3,6,-0.375,dovish,4,0,3,3,-0.23076923076923078,dovish
fomc_stmt_20011002,2001-10-02,FOMC,statement,fomc_statements,9,0,6,3,6,-0.375,dovish,3,0,3,3,-0.23076923076923078,dovish
fomc_stmt_20011106,2001-11-06,FOMC,statement,fomc_statements,7,0,5,2,5,-0.3333333333333333,dovish,2,0,2,2,-0.16666666666666666,dovish
fomc_stmt_20011211,2001-12-11,FOMC,statement,fomc_statements,8,0,6,2,6,-0.375,dovish,3,0,3,3,-0.23076923076923078,dovish
fomc_stmt_20020130,2002-01-30,FOMC,statement,fomc_statements,6,1,2,3,3,-0.07692307692307693,dovish,2,0,2,2,-0.16666666666666666,dovish
fomc_stmt_20020319,2002-03-19,FOMC,statement,fomc_statements,18,1,0,17,1,0.09090909090909091,hawkish,1,0,0,0,0,neutral
fomc_stmt_20020507,2002-05-07,FOMC,statement,fomc_statements,16,1,0,15,1,0.09090909090909091,hawkish,1,0,0,0,0,neutral
fomc_stmt_20020626,2002-06-26,FOMC,statement,fomc_statements,17,1,1,15,2,0,neutral,2,0,0,0,0,neutral
fomc_stmt_20020813,2002-08-13,FOMC,statement,fomc_statements,17,0,3,14,3,-0.23076923076923078,dovish,1,0,1,1,-0.09090909090909091,dovish
fomc_stmt_20020924,2002-09-24,FOMC,statement,fomc_statements,20,0,4,16,4,-0.2857142857142857,dovish,2,0,2,2,-0.16666666666666666,dovish
fomc_stmt_20021106,2002-11-06,FOMC,statement,fomc_statements,21,0,6,15,6,-0.375,dovish,2,0,1,1,-0.09090909090909091,dovish
fomc_stmt_20021210,2002-12-10,FOMC,statement,fomc_statements,17,0,1,16,1,-0.09090909090909091,dovish,1,0,0,0,0,neutral
fomc_stmt_20030129,2003-01-29,FOMC,statement,fomc_statements,16,0,2,14,2,-0.16666666666666666,dovish,3,0,2,2,-0.16666666666666666,dovish
fomc_stmt_20030318,2003-03-18,FOMC,statement,fomc_statements,19,1,4,14,5,-0.2,dovish,2,0,2,2,-0.16666666666666666,dovish
fomc_stmt_20030506,2003-05-06,FOMC,statement,fomc_statements,19,0,5,14,5,-0.3333333333333333,dovish,2,0,1,1,-0.09090909090909091,dovish
fomc_stmt_20030625,2003-06-25,FOMC,statement,fomc_statements,25,2,5,18,7,-0.17647058823529413,dovish,3,1,0,1,0.09090909090909091,hawkish
fomc_stmt_20030812,2003-08-12,FOMC,statement,fomc_statements,19,0,4,15,4,-0.2857142857142857,dovish,2,0,0,0,0,neutral
fomc_stmt_20030916,2003-09-16,FOMC,statement,fomc_statements,20,1,4,15,5,-0.2,dovish,2,0,0,0,0,neutral
fomc_stmt_20031028,2003-10-28,FOMC,statement,fomc_statements,20,1,4,15,5,-0.2,dovish,2,0,0,0,0,neutral
fomc_stmt_20031209,2003-12-09,FOMC,statement,fomc_statements,19,1,3,15,4,-0.14285714285714285,dovish,2,0,1,1,-0.09090909090909091,dovish
fomc_stmt_20040128,2004-01-28,FOMC,statement,fomc_statements,19,1,3,15,4,-0.14285714285714285,dovish,2,0,1,1,-0.09090909090909091,dovish
fomc_stmt_20040316,2004-03-16,FOMC,statement,fomc_statements,19,1,3,15,4,-0.14285714285714285,dovish,2,0,1,1,-0.09090909090909091,dovish
fomc_stmt_20040504,2004-05-04,FOMC,statement,fomc_statements,18,1,1,16,2,0,neutral,3,0,0,0,0,neutral
fomc_stmt_20040630,2004-06-30,FOMC,statement,fomc_statements,21,3,1,17,4,0.14285714285714285,hawkish,3,0,0,0,0,neutral
fomc_stmt_20040810,2004-08-10,FOMC,statement,fomc_statements,23,3,3,17,6,0,neutral,5,1,1,2,0,neutral
fomc_stmt_20040921,2004-09-21,FOMC,statement,fomc_statements,21,2,2,17,4,0,neutral,3,0,0,0,0,neutral
fomc_stmt_20041110,2004-11-10,FOMC,statement,fomc_statements,21,2,2,17,4,0,neutral,3,0,0,0,0,neutral
fomc_stmt_20041214,2004-12-14,FOMC,statement,fomc_statements,25,2,2,21,4,0,neutral,5,0,0,0,0,neutral
fomc_stmt_20050202,2005-02-02,FOMC,statement,fomc_statements,22,2,2,18,4,0,neutral,3,0,0,0,0,neutral
fomc_stmt_20050322,2005-03-22,FOMC,statement,fomc_statements,23,2,1,20,3,0.07692307692307693,hawkish,3,0,0,0,0,neutral
fomc_stmt_20050503,2005-05-03,FOMC,statement,fomc_statements,24,3,4,17,7,-0.058823529411764705,dovish,3,0,0,0,0,neutral
fomc_stmt_20050630,2005-06-30,FOMC,statement,fomc_statements,22,2,1,19,3,0.07692307692307693,hawkish,4,0,0,0,0,neutral
fomc_stmt_20050809,2005-08-09,FOMC,statement,fomc_statements,21,2,2,17,4,0,neutral,3,0,0,0,0,neutral
fomc_stmt_20050920,2005-09-20,FOMC,statement,fomc_statements,25,4,4,17,8,0,neutral,4,0,1,1,-0.09090909090909091,dovish
fomc_stmt_20051101,2005-11-01,FOMC,statement,fomc_statements,21,2,2,17,4,0,neutral,4,0,1,1,-0.09090909090909091,dovish
fomc_stmt_20051213,2005-12-13,FOMC,statement,fomc_statements,19,3,2,14,5,0.06666666666666667,hawkish,2,1,0,1,0.09090909090909091,hawkish
fomc_stmt_20060131,2006-01-31,FOMC,statement,fomc_statements,18,3,1,14,4,0.14285714285714285,hawkish,2,1,0,1,0.09090909090909091,hawkish
fomc_stmt_20060328,2006-03-28,FOMC,statement,fomc_statements,21,3,2,16,5,0.06666666666666667,hawkish,3,1,1,2,0,neutral
fomc_stmt_20060510,2006-05-10,FOMC,statement,fomc_statements,21,4,1,16,5,0.2,hawkish,3,1,1,2,0,neutral
fomc_stmt_20060629,2006-06-29,FOMC,statement,fomc_statements,21,3,2,16,5,0.06666666666666667,hawkish,3,0,0,0,0,neutral
fomc_stmt_20060808,2006-08-08,FOMC,statement,fomc_statements,17,2,2,13,4,0,neutral,3,0,1,1,-0.09090909090909091,dovish
fomc_stmt_20060920,2006-09-20,FOMC,statement,fomc_statements,18,2,2,14,4,0,neutral,3,0,1,1,-0.09090909090909091,dovish
fomc_stmt_20061025,2006-10-25,FOMC,statement,fomc_statements,19,2,3,14,5,-0.06666666666666667,dovish,4,0,2,2,-0.16666666666666666,dovish
fomc_stmt_20061212,2006-12-12,FOMC,statement,fomc_statements,19,2,2,15,4,0,neutral,4,0,1,1,-0.09090909090909091,dovish
fomc_stmt_20070131,2007-01-31,FOMC,statement,fomc_statements,19,2,2,15,4,0,neutral,4,0,2,2,-0.16666666666666666,dovish
fomc_stmt_20070321,2007-03-21,FOMC,statement,fomc_statements,18,2,2,14,4,0,neutral,4,0,2,2,-0.16666666666666666,dovish
fomc_stmt_20070509,2007-05-09,FOMC,statement,fomc_statements,18,2,3,13,5,-0.06666666666666667,dovish,4,0,2,2,-0.16666666666666666,dovish
fomc_stmt_20070807,2007-08-07,FOMC,statement,fomc_statements,19,1,4,14,5,-0.2,dovish,3,0,2,2,-0.16666666666666666,dovish
fomc_stmt_20070817,2007-08-17,FOMC,statement,fomc_statements,9,1,2,6,3,-0.07692307692307693,dovish,3,0,0,0,0,neutral
fomc_stmt_20070918,2007-09-18,FOMC,statement,fomc_statements,20,1,6,13,7,-0.29411764705882354,dovish,4,0,2,2,-0.16666666666666666,dovish
fomc_stmt_20071031,2007-10-31,FOMC,statement,fomc_statements,23,1,5,17,6,-0.25,dovish,4,0,1,1,-0.09090909090909091,dovish
fomc_stmt_20071211,2007-12-11,FOMC,statement,fomc_statements,23,2,6,15,8,-0.2222222222222222,dovish,3,0,1,1,-0.09090909090909091,dovish
fomc_stmt_20080130,2008-01-30,FOMC,statement,fomc_statements,22,2,6,14,8,-0.2222222222222222,dovish,5,1,3,4,-0.14285714285714285,dovish
fomc_stmt_20080311,2008-03-11,FOMC,statement,fomc_statements,15,5,0,10,5,0.3333333333333333,hawkish,9,2,0,2,0.16666666666666666,hawkish
fomc_stmt_20080318,2008-03-18,FOMC,statement,fomc_statements,25,3,10,12,13,-0.30434782608695654,dovish,8,1,6,7,-0.29411764705882354,dovish
fomc_stmt_20080430,2008-04-30,FOMC,statement,fomc_statements,24,1,8,15,9,-0.3684210526315789,dovish,7,0,5,5,-0.3333333333333333,dovish
