event_id,url_used,n_chars,text_raw
fomc_stmt_20070628,NA,0,NA
fomc_stmt_20080122,https://www.federalreserve.gov/newsevents/pressreleases/monetary20080122b.htm,2760,"An official website of the United States Government
A .gov website belongs to an official government organization in the United States.
A lock (LockLocked padlock icon) or https:// means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.
 The Federal Reserve, the central bank of the United States, provides the nation with a safe, flexible, and stable monetary and financial system.
 Federal Open Market Committee
 Monetary Policy Principles and Practice
 Review of Monetary Policy Strategy, Tools, and Communications
 Mergers, Acquisitions, and Other Applications
 Supervision and Regulation Letters
 Regulatory and Policy Resources
 Financial Stability Assessments 
 Financial Stability Coordination & Actions
 Reserve Bank Payment Services & Data
 Financial Market Utilities & Infrastructures
 Research, Reports, & Committees
 Exchange Rates and International Data
 Micro Data Reference Manual (MDRM)
 Money Stock and Reserve Balances
The Federal Open Market Committee has decided to lower its target for the federal funds rate 75 basis points to 3-1/2 percent.
The Committee took this action in view of a weakening of the economic outlook and increasing downside risks to growth. While strains in short-term funding markets have eased somewhat, broader financial market conditions have continued to deteriorate and credit has tightened further for some businesses and households. Moreover, incoming information indicates a deepening of the housing contraction as well as some softening in labor markets.
The Committee expects inflation to moderate in coming quarters, but it will be necessary to continue to monitor inflation developments carefully.
Appreciable downside risks to growth remain. The Committee will continue to assess the effects of financial and other developments on economic prospects and will act in a timely manner as needed to address those risks.
Voting for the FOMC monetary policy action were: Ben S. Bernanke, Chairman; Timothy F. Geithner, Vice Chairman; Charles L. Evans; Thomas M. Hoenig; Donald L. Kohn; Randall S. Kroszner; Eric S. Rosengren; and Kevin M. Warsh. Voting against was William Poole, who did not believe that current conditions justified policy action before the regularly scheduled meeting next week. Absent and not voting was Frederic S. Mishkin.
In a related action, the Board of Governors approved a 75-basis-point decrease in the discount rate to 4 percent. In taking this action, the Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Chicago and Minneapolis.
Board of Governors of the Federal Reserve System
20th Street and Constitution Avenue N.W., Washington, DC 20551"
ecb_stmt_19990204,NA,0,NA
ecb_stmt_19990708,NA,0,NA
ecb_stmt_19990805,NA,0,NA
ecb_stmt_20001109,NA,0,NA
ecb_stmt_20010111,NA,0,NA
ecb_stmt_20010412,NA,0,NA
ecb_stmt_20011008,NA,0,NA
ecb_stmt_20060907,NA,0,NA
