central_bank,meeting_date,event_type,event_id,meeting_sequence,event_time_utc,event_time_cet,speaker,title,url,scrape_status,is_scheduled,is_unconventional_era,chair_transition,word_count,n_sentences,text_clean,text_raw
ECB,1999-01-07,decision,ecb_dec_19990107,1,13:15,14:15,ECB Governing Council,Decisions on ECB interest rates,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990107.en.html,OK,True,False,False,233,9,"At today's meeting, the Governing Council of the ECB reviewed the monetary, financial and economic situation in the euro area against the background of its stability-oriented monetary policy strategy. Taking into account the latest economic developments, the Governing Council confirmed its earlier assessment of the outlook for price stability. The Governing Council therefore decided that for the two main refinancing operations to be announced on 11 January 1999 and 18 January 1999 the same conditions will apply as for the first such operation, which was settled today, i.e. they will be fixed rate tenders conducted at an interest rate of 3.0%. The Governing Council confirmed its intention to maintain the main refinancing rate at this level for the foreseeable future. In addition, the Governing Council recalled that the marginal lending rate and the deposit rate were set at levels of 3.25% and 2.75%, respectively, for the period from 4 to 21 January 1999. The Governing Council confirmed its intention to terminate this transitional measure following its next meeting on 21 January 1999. Finally, the Governing Council recalled the decision taken at its meeting on 22 December 1998 that the first longer-term refinancing operation, which will be announced on 12 January 1999 and settled on 14 January 1999, will be conducted as a variable rate tender, using the single rate allotment procedure. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting, the Governing Council of the ECB reviewed the monetary, financial and economic situation in the euro area against the background of its stability-oriented monetary policy strategy. Taking into account the latest economic developments, the Governing Council confirmed its earlier assessment of the outlook for price stability. The Governing Council therefore decided that for the two main refinancing operations to be announced on 11 January 1999 and 18 January 1999 the same conditions will apply as for the first such operation, which was settled today, i.e. they will be fixed rate tenders conducted at an interest rate of 3.0%. The Governing Council confirmed its intention to maintain the main refinancing rate at this level for the foreseeable future. In addition, the Governing Council recalled that the marginal lending rate and the deposit rate were set at levels of 3.25% and 2.75%, respectively, for the period from 4 to 21 January 1999. The Governing Council confirmed its intention to terminate this transitional measure following its next meeting on 21 January 1999. Finally, the Governing Council recalled the decision taken at its meeting on 22 December 1998 that the first longer-term refinancing operation, which will be announced on 12 January 1999 and settled on 14 January 1999, will be conducted as a variable rate tender, using the single rate allotment procedure. Directorate General Communications Reproduction is permitted provided that the source is acknowledged."
ECB,1999-02-04,decision,ecb_dec_19990204,2,13:15,14:15,ECB Governing Council,,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990204.en.html,HTTP 404,True,False,False,0,0,,
ECB,1999-03-04,decision,ecb_dec_19990304,3,12:15,14:15,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990304.en.html,OK,True,False,False,159,7,"At today's meeting the Governing Council reviewed the latest monetary, financial and economic developments. Taking into account all the information available, the Governing Council confirmed its earlier assessment of the outlook for price stability. Against this background it decided that for the main refinancing operations to be settled on 10 and 17 March 1999 the same conditions will apply as for the previous ones, i.e. they will be conducted as fixed rate tenders at an interest rate of 3.0%. In addition, the interest rate on the marginal lending facility will continue to be 4.5% and the interest rate on the deposit facility will remain 2.0%. The Governing Council also decided today that for forthcoming longer-term refinancing operations of the Eurosystem the multiple rate method of allotment will be applied starting from the next such operation (which is to be settled on 25 March 1999) until otherwise indicated. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting the Governing Council reviewed the latest monetary, financial and economic developments. Taking into account all the information available, the Governing Council confirmed its earlier assessment of the outlook for price stability. Against this background it decided that for the main refinancing operations to be settled on 10 and 17 March 1999 the same conditions will apply as for the previous ones, i.e. they will be conducted as fixed rate tenders at an interest rate of 3.0%. In addition, the interest rate on the marginal lending facility will continue to be 4.5% and the interest rate on the deposit facility will remain 2.0%. The Governing Council also decided today that for forthcoming longer-term refinancing operations of the Eurosystem the multiple rate method of allotment will be applied starting from the next such operation (which is to be settled on 25 March 1999) until otherwise indicated. Directorate General Communications Reproduction is permitted provided that the source is acknowledged."
ECB,1999-04-08,decision,ecb_dec_19990408,4,12:15,14:15,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990408.en.html,OK,True,False,False,58,2,At today's meeting the Governing Council of the ECB took the following monetary policy decisions: A statement providing the reasons for these decisions will be made by the President of the ECB at a press conference following the conclusion of the Governing Council meeting later today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.,At today's meeting the Governing Council of the ECB took the following monetary policy decisions: A statement providing the reasons for these decisions will be made by the President of the ECB at a press conference following the conclusion of the Governing Council meeting later today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.
ECB,1999-05-06,decision,ecb_dec_19990506,5,12:15,14:15,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990506.en.html,OK,True,False,False,70,4,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged."
ECB,1999-06-17,decision,ecb_dec_19990617,6,12:15,14:15,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990617.en.html,OK,True,False,False,48,2,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. Directorate General Communications Reproduction is permitted provided that the source is acknowledged."
ECB,1999-07-08,decision,ecb_dec_19990708,7,12:15,14:15,ECB Governing Council,,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990708.en.html,HTTP 404,True,False,False,0,0,,
ECB,1999-08-05,decision,ecb_dec_19990805,8,12:15,14:15,ECB Governing Council,,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990805.en.html,HTTP 404,True,False,False,0,0,,
ECB,1999-09-09,decision,ecb_dec_19990909,9,12:15,14:15,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/1999/html/pr990909.en.html,OK,True,False,False,70,4,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged."
ECB,1999-10-07,decision,ecb_dec_19991007,10,12:15,14:15,ECB Governing Council,Monetary policy decisions,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991007.en.html,OK,True,False,False,70,4,"At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged.","At today's meeting the Governing Council of the ECB decided that the interest rates on the main refinancing operations, the marginal lending facility and the deposit facility will remain unchanged at 2.5%, 3.5% and 1.5% respectively. The President of the ECB will comment on the considerations underlying these decisions at a press conference starting at 2.30 p.m. today. Directorate General Communications Reproduction is permitted provided that the source is acknowledged."
