filename,recommended_location,include_in_main_results,latex_label,source_data
fig6_1_score_distributions.png,Section 6.1,TRUE,fig:score_distributions_v31,fig6_1_score_distribution_points.csv; fig6_1_score_distribution_summary.csv
fig6_2_agreement_with_rate.png,Section 6.2,TRUE,fig:agreement_with_rate_v31,fig6_2_agreement_with_rate.csv
fig6_3_rf_confusion_matrices.png,Section 6.3,TRUE,fig:rf_confusion_v31,fig6_3_rf_confusion_matrix.csv
fig6_4_rf_feature_importance.png,Section 6.3,TRUE,fig:rf_feature_importance_v31,fig6_4_rf_signed_feature_importance.csv
fig6_5_rq1_method_r2_heatmap.png,Section 6.4,TRUE,fig:rq1_method_r2_v31,fig6_5_rq1_method_r2.csv
fig6_6_dual_mandate_r2_gains.png,Section 6.4.2,TRUE,fig:dual_mandate_r2_gains_v31,fig6_6_dual_mandate_r2_gains.csv
fig6_7_rq2_direct_oos_r2.png,Section 6.5,TRUE,fig:rq2_direct_oos_r2_v31,fig6_7_rq2_direct_oos_r2.csv
fig6_8_rq2_incremental_r2.png,Section 6.5 or Appendix,FALSE,fig:rq2_incremental_r2_v31,fig6_8_rq2_incremental_r2_beyond_inertia.csv
net_score_timeseries_statements.png,Appendix C,FALSE,fig:dict_timeseries_stmt_v31,app_fig02_net_score_timeseries_statements.csv
tone_rate_overlay.png,Appendix C only,FALSE,fig:tone_rate_overlay_index_v31,app_fig03_tone_rate_overlay_index.csv
maturity_response_profile.png,Optional Section 6.4 or Appendix B,FALSE,fig:maturity_profile_v31,app_fig04_maturity_response_profile.csv
coef_stability_fe_ladder.png,Appendix B,FALSE,fig:coef_stability_v31,app_fig05_coef_stability_fe_ladder.csv
fwbw_score_scatter.png,Appendix C,FALSE,fig:fwbw_scatter_v31,app_fig06_fwbw_score_scatter.csv
comparison_distribution_overlay.png,Appendix C,FALSE,fig:score_distribution_overlay_v31,fig6_1_score_distribution_points.csv
rolling_agreement_rate.png,Appendix C,FALSE,fig:rolling_agreement_v31,app_fig11_rolling_agreement_rate.csv
comparison_score_scatter.png,Appendix C,FALSE,fig:score_scatter_v31,app_fig12_comparison_score_scatter.csv
dm_decomposition_timeseries.png,Appendix C or Section 6.4.2,FALSE,fig:dm_decomposition_ts_v31,app_fig14_dm_decomposition_timeseries.csv
robustness_specification_grid.png,Appendix B,FALSE,fig:robustness_grid_v31,app_fig15_robustness_specification_grid.csv
cross_method_divergence.png,Appendix C,FALSE,fig:cross_method_divergence_v31,app_fig16_cross_method_divergence.csv
