corpus_long,bank,meeting_date,net_score,bps_change,policy_rate_index_bps,series,z_value
FOMC statements,FOMC,1994-02-04,0.07692307692307693,25,25,Dictionary net score,0.5359088786001156
FOMC statements,FOMC,1994-02-04,0.07692307692307693,25,25,Cumulative rate-change index,0.446973022902031
FOMC statements,FOMC,1994-03-22,0.09090909090909093,25,50,Dictionary net score,0.5960091686001892
FOMC statements,FOMC,1994-03-22,0.09090909090909093,25,50,Cumulative rate-change index,0.5625365608745646
FOMC statements,FOMC,1994-04-18,0,25,75,Dictionary net score,0.2053572835997109
FOMC statements,FOMC,1994-04-18,0,25,75,Cumulative rate-change index,0.6781000988470983
FOMC statements,FOMC,1994-05-17,0,50,125,Dictionary net score,0.2053572835997109
FOMC statements,FOMC,1994-05-17,0,50,125,Cumulative rate-change index,0.9092271747921656
FOMC statements,FOMC,1994-08-16,0.16666666666666666,50,175,Dictionary net score,0.9215524061005878
FOMC statements,FOMC,1994-08-16,0.16666666666666666,50,175,Cumulative rate-change index,1.1403542507372328
FOMC statements,FOMC,1994-11-15,0.09090909090909093,75,250,Dictionary net score,0.5960091686001892
FOMC statements,FOMC,1994-11-15,0.09090909090909093,75,250,Cumulative rate-change index,1.487044864654834
FOMC statements,FOMC,1995-02-01,0,50,300,Dictionary net score,0.2053572835997109
FOMC statements,FOMC,1995-02-01,0,50,300,Cumulative rate-change index,1.7181719405999012
FOMC statements,FOMC,1995-03-28,0,0,300,Dictionary net score,0.2053572835997109
FOMC statements,FOMC,1995-03-28,0,0,300,Cumulative rate-change index,1.7181719405999012
FOMC statements,FOMC,1995-07-06,0.16666666666666666,-25,275,Dictionary net score,0.9215524061005878
FOMC statements,FOMC,1995-07-06,0.16666666666666666,-25,275,Cumulative rate-change index,1.6026084026273675
FOMC statements,FOMC,1995-12-19,-0.09090909090909093,-25,250,Dictionary net score,-0.18529460140076748
FOMC statements,FOMC,1995-12-19,-0.09090909090909093,-25,250,Cumulative rate-change index,1.487044864654834
FOMC statements,FOMC,1996-01-31,0,-25,225,Dictionary net score,0.2053572835997109
FOMC statements,FOMC,1996-01-31,0,-25,225,Cumulative rate-change index,1.3714813266823003
FOMC statements,FOMC,1997-03-25,-0.07692307692307693,25,250,Dictionary net score,-0.12519431140069384
FOMC statements,FOMC,1997-03-25,-0.07692307692307693,25,250,Cumulative rate-change index,1.487044864654834
FOMC statements,FOMC,1998-09-29,0,-25,225,Dictionary net score,0.2053572835997109
FOMC statements,FOMC,1998-09-29,0,-25,225,Cumulative rate-change index,1.3714813266823003
FOMC statements,FOMC,1998-10-15,-0.09090909090909093,-25,200,Dictionary net score,-0.18529460140076748
FOMC statements,FOMC,1998-10-15,-0.09090909090909093,-25,200,Cumulative rate-change index,1.2559177887097666
FOMC statements,FOMC,1998-11-17,0.16666666666666666,-25,175,Dictionary net score,0.9215524061005878
FOMC statements,FOMC,1998-11-17,0.16666666666666666,-25,175,Cumulative rate-change index,1.1403542507372328
FOMC statements,FOMC,1999-02-03,0,0,175,Dictionary net score,0.2053572835997109
FOMC statements,FOMC,1999-02-03,0,0,175,Cumulative rate-change index,1.1403542507372328
FOMC statements,FOMC,1999-03-30,0,0,175,Dictionary net score,0.2053572835997109
FOMC statements,FOMC,1999-03-30,0,0,175,Cumulative rate-change index,1.1403542507372328
FOMC statements,FOMC,1999-05-18,-0.09090909090909093,0,175,Dictionary net score,-0.18529460140076748
FOMC statements,FOMC,1999-05-18,-0.09090909090909093,0,175,Cumulative rate-change index,1.1403542507372328
FOMC statements,FOMC,1999-06-30,0.09090909090909093,25,200,Dictionary net score,0.5960091686001892
FOMC statements,FOMC,1999-06-30,0.09090909090909093,25,200,Cumulative rate-change index,1.2559177887097666
