label,outcome,score_term,fe_spec,estimate,se,pvalue,n,r2,ci_low,ci_high,score_method,plot_label
FOMC PC -> SP500 [net],SP500,net_score,Base,0.5918416565421275,0.4311870146504067,0.1733689481571271,91,0.04561210809763694,-0.2532848921726696,1.4369682052569246,Dictionary,"FOMC PC
SP500 [net]"
FOMC PC -> SP500 [net],SP500,net_score,+ chair FE,0.9249801003495002,0.6382441048081104,0.15090245696594168,91,0.08053255658044034,-0.32597834507439627,2.1759385457733966,Dictionary,"FOMC PC
SP500 [net]"
FOMC PC -> SP500 [net],SP500,net_score,+ chair + era FE,0.8698749622350164,0.6598494658283172,0.19094698642248412,91,0.08085326408754512,-0.4234299907884853,2.1631799152585183,Dictionary,"FOMC PC
SP500 [net]"
FOMC PC -> EURUSD [net],EURUSD,net_score,Base,0.19145452683150097,0.1202276316375613,0.11487319678050154,91,0.04887858902641384,-0.04419163117811917,0.42710068484112107,Dictionary,"FOMC PC
EURUSD [net]"
FOMC PC -> EURUSD [net],EURUSD,net_score,+ chair FE,0.20494591915406196,0.14364446201802328,0.15727011217658157,91,0.05825630891629396,-0.07659722640126365,0.4864890647093876,Dictionary,"FOMC PC
EURUSD [net]"
FOMC PC -> EURUSD [net],EURUSD,net_score,+ chair + era FE,0.37357056469690303,0.18199193214466472,0.04317963871652242,91,0.08859658455593611,0.01686637769336019,0.7302747517004459,Dictionary,"FOMC PC
EURUSD [net]"
FOMC PC -> DXY [net],DXY,net_score,Base,-0.17941398662707855,0.11719402070599332,0.1293776792902027,91,0.04733341056888496,-0.40911426721082544,0.05028629395666834,Dictionary,"FOMC PC
DXY [net]"
FOMC PC -> DXY [net],DXY,net_score,+ chair FE,-0.1981866024914384,0.14027580178193047,0.16131309888242729,91,0.05585265299536057,-0.47312717398402215,0.07675396900114531,Dictionary,"FOMC PC
DXY [net]"
FOMC PC -> DXY [net],DXY,net_score,+ chair + era FE,-0.34542647354791883,0.17506915017290334,0.05173537571022588,91,0.08055617570592755,-0.6885620078868093,-0.0022909392090282865,Dictionary,"FOMC PC
DXY [net]"
ECB PC -> SX5E [net],SX5E,net_score,Base,0.17371496371249706,0.11395093486324342,0.12870756850235157,243,0.01228000843176035,-0.04962886861946006,0.39705879604445415,Dictionary,"ECB PC
SX5E [net]"
ECB PC -> SX5E [net],SX5E,net_score,+ chair FE,0.15668725836127426,0.1455703970293867,0.2828573470135784,243,0.01262846040576992,-0.1286307198163237,0.44200523653887225,Dictionary,"ECB PC
SX5E [net]"
ECB PC -> SX5E [net],SX5E,net_score,+ chair + era FE,0.175284927110044,0.1674489768967991,0.296269124389902,243,0.0134296304413638,-0.15291506760768225,0.5034849218277703,Dictionary,"ECB PC
SX5E [net]"
ECB PC -> SX7E [net],SX7E,net_score,Base,0.3815228603476113,0.1979491496331367,0.0551128480728766,243,0.01904271670200241,-0.00645747293333665,0.7695031936285592,Dictionary,"ECB PC
SX7E [net]"
ECB PC -> SX7E [net],SX7E,net_score,+ chair FE,0.32229143065355026,0.25163166870276343,0.2015136547138426,243,0.02161996297919288,-0.17090664000386607,0.8154895013109666,Dictionary,"ECB PC
SX7E [net]"
ECB PC -> SX7E [net],SX7E,net_score,+ chair + era FE,0.14193434479046474,0.27293085712611376,0.6035268092797303,243,0.02665603131012106,-0.39301013517671823,0.6768788247576477,Dictionary,"ECB PC
SX7E [net]"
FOMC stmt | UST2Y  rf,UST2Y,rf_score,Base,0.01659709031868005,0.00763585343575623,0.03074919893652101,235,0.2017838361959552,0.0016308175845978386,0.031563363052762264,Random Forest,FOMC stmt | UST2Y  rf
FOMC stmt | UST2Y  rf,UST2Y,rf_score,+ chair FE,0.01745408970841296,0.00789131804561647,0.02796799961480854,235,0.203542088731277,0.0019871063390046774,0.032921073077821245,Random Forest,FOMC stmt | UST2Y  rf
FOMC stmt | UST2Y  rf,UST2Y,rf_score,+ chair + era FE,0.01755257677148582,0.00799567278910792,0.02915820917136528,235,0.2039541924018634,0.0018810581048342954,0.03322409543813734,Random Forest,FOMC stmt | UST2Y  rf
FOMC stmt | UST10Y rf,UST10Y,rf_score,Base,0.00758026938726791,0.00514497123124012,0.14201602174604025,235,0.02452391592653324,-0.0025038742259627248,0.017664413000498546,Random Forest,FOMC stmt | UST10Y rf
FOMC stmt | UST10Y rf,UST10Y,rf_score,+ chair FE,0.00824547688403588,0.00547870652046644,0.1337009731173663,235,0.02969107762591427,-0.0024927878960783415,0.0189837416641501,Random Forest,FOMC stmt | UST10Y rf
FOMC stmt | UST10Y rf,UST10Y,rf_score,+ chair + era FE,0.00894374190352961,0.00551034626211186,0.10595984103345654,235,0.03342347497465481,-0.0018565367702096346,0.019744020577268855,Random Forest,FOMC stmt | UST10Y rf
ECB stmt | SX5E    rf,SX5E,rf_score,Base,0.37126688278612263,0.16903320180210124,0.02898462703759225,252,0.2083910685548237,0.03996180725400422,0.702571958318241,Random Forest,ECB stmt | SX5E    rf
ECB stmt | SX5E    rf,SX5E,rf_score,+ chair FE,0.4094353961798108,0.19470982352869964,0.03649972342568813,252,0.2266788422603262,0.027804142063559467,0.7910666502960622,Random Forest,ECB stmt | SX5E    rf
ECB stmt | SX5E    rf,SX5E,rf_score,+ chair + era FE,0.42278824947057775,0.2575164661094498,0.10192151195646626,252,0.2280006124984604,-0.0819440241039438,0.9275205230450994,Random Forest,ECB stmt | SX5E    rf
