corpus_long,meeting_date,rate_label,method_raw,pred_label,method,agreement,rolling_agreement_12
FOMC statements,1994-02-04,hawkish,dict_label,hawkish,Dictionary,1,1
FOMC statements,1994-03-22,hawkish,dict_label,hawkish,Dictionary,1,1
FOMC statements,1994-04-18,hawkish,dict_label,neutral,Dictionary,0,0.6666666666666666
FOMC statements,1994-05-17,hawkish,dict_label,neutral,Dictionary,0,0.5
FOMC statements,1994-08-16,hawkish,dict_label,hawkish,Dictionary,1,0.6
FOMC statements,1994-11-15,hawkish,dict_label,hawkish,Dictionary,1,0.6666666666666666
FOMC statements,1995-02-01,hawkish,dict_label,neutral,Dictionary,0,0.5714285714285714
FOMC statements,1995-03-28,neutral,dict_label,neutral,Dictionary,1,0.625
FOMC statements,1995-07-06,dovish,dict_label,hawkish,Dictionary,0,0.5555555555555556
FOMC statements,1995-12-19,dovish,dict_label,dovish,Dictionary,1,0.6
FOMC statements,1996-01-31,dovish,dict_label,neutral,Dictionary,0,0.5454545454545454
FOMC statements,1997-03-25,hawkish,dict_label,dovish,Dictionary,0,0.5
FOMC statements,1998-09-29,dovish,dict_label,neutral,Dictionary,0,0.4166666666666667
FOMC statements,1998-10-15,dovish,dict_label,dovish,Dictionary,1,0.4166666666666667
FOMC statements,1998-11-17,dovish,dict_label,hawkish,Dictionary,0,0.4166666666666667
FOMC statements,1999-02-03,neutral,dict_label,neutral,Dictionary,1,0.5
FOMC statements,1999-03-30,neutral,dict_label,neutral,Dictionary,1,0.5
FOMC statements,1999-05-18,neutral,dict_label,dovish,Dictionary,0,0.4166666666666667
FOMC statements,1999-06-30,hawkish,dict_label,hawkish,Dictionary,1,0.5
FOMC statements,1999-08-24,hawkish,dict_label,hawkish,Dictionary,1,0.5
FOMC statements,1999-10-05,neutral,dict_label,neutral,Dictionary,1,0.5833333333333334
FOMC statements,1999-11-16,hawkish,dict_label,hawkish,Dictionary,1,0.5833333333333334
FOMC statements,1999-12-21,neutral,dict_label,hawkish,Dictionary,0,0.5833333333333334
FOMC statements,2000-02-02,hawkish,dict_label,hawkish,Dictionary,1,0.6666666666666666
FOMC statements,2000-03-21,hawkish,dict_label,hawkish,Dictionary,1,0.75
FOMC statements,2000-05-16,hawkish,dict_label,hawkish,Dictionary,1,0.75
FOMC statements,2000-06-28,neutral,dict_label,hawkish,Dictionary,0,0.75
FOMC statements,2000-08-22,neutral,dict_label,hawkish,Dictionary,0,0.6666666666666666
FOMC statements,2000-10-03,neutral,dict_label,hawkish,Dictionary,0,0.5833333333333334
FOMC statements,2000-11-15,neutral,dict_label,neutral,Dictionary,1,0.6666666666666666
FOMC statements,2000-12-19,neutral,dict_label,dovish,Dictionary,0,0.5833333333333334
FOMC statements,2001-01-03,dovish,dict_label,dovish,Dictionary,1,0.5833333333333334
FOMC statements,2001-01-31,dovish,dict_label,dovish,Dictionary,1,0.5833333333333334
FOMC statements,2001-03-20,dovish,dict_label,dovish,Dictionary,1,0.5833333333333334
FOMC statements,2001-04-18,dovish,dict_label,dovish,Dictionary,1,0.6666666666666666
FOMC statements,2001-05-15,dovish,dict_label,dovish,Dictionary,1,0.6666666666666666
FOMC statements,2001-06-27,dovish,dict_label,dovish,Dictionary,1,0.6666666666666666
FOMC statements,2001-08-21,dovish,dict_label,dovish,Dictionary,1,0.6666666666666666
FOMC statements,2001-09-17,dovish,dict_label,dovish,Dictionary,1,0.75
FOMC statements,2001-10-02,dovish,dict_label,dovish,Dictionary,1,0.8333333333333334
FOMC statements,2001-11-06,dovish,dict_label,dovish,Dictionary,1,0.9166666666666666
FOMC statements,2001-12-11,dovish,dict_label,dovish,Dictionary,1,0.9166666666666666
FOMC statements,2002-01-30,neutral,dict_label,dovish,Dictionary,0,0.9166666666666666
FOMC statements,2002-03-19,neutral,dict_label,hawkish,Dictionary,0,0.8333333333333334
FOMC statements,2002-05-07,neutral,dict_label,hawkish,Dictionary,0,0.75
FOMC statements,2002-06-26,neutral,dict_label,hawkish,Dictionary,0,0.6666666666666666
FOMC statements,2002-08-13,neutral,dict_label,dovish,Dictionary,0,0.5833333333333334
FOMC statements,2002-09-24,neutral,dict_label,dovish,Dictionary,0,0.5
FOMC statements,2002-11-06,dovish,dict_label,dovish,Dictionary,1,0.5
FOMC statements,2002-12-10,neutral,dict_label,dovish,Dictionary,0,0.4166666666666667
FOMC statements,2003-01-29,neutral,dict_label,dovish,Dictionary,0,0.3333333333333333
FOMC statements,2003-03-18,neutral,dict_label,dovish,Dictionary,0,0.25
FOMC statements,2003-05-06,neutral,dict_label,dovish,Dictionary,0,0.16666666666666666
FOMC statements,2003-06-25,dovish,dict_label,dovish,Dictionary,1,0.16666666666666666
FOMC statements,2003-08-12,neutral,dict_label,dovish,Dictionary,0,0.16666666666666666
FOMC statements,2003-09-16,neutral,dict_label,dovish,Dictionary,0,0.16666666666666666
FOMC statements,2003-10-28,neutral,dict_label,dovish,Dictionary,0,0.16666666666666666
FOMC statements,2003-12-09,neutral,dict_label,dovish,Dictionary,0,0.16666666666666666
FOMC statements,2004-01-28,neutral,dict_label,dovish,Dictionary,0,0.16666666666666666
FOMC statements,2004-03-16,neutral,dict_label,dovish,Dictionary,0,0.16666666666666666
FOMC statements,2004-05-04,neutral,dict_label,dovish,Dictionary,0,0.08333333333333333
FOMC statements,2004-06-30,hawkish,dict_label,neutral,Dictionary,0,0.08333333333333333
FOMC statements,2004-08-10,hawkish,dict_label,neutral,Dictionary,0,0.08333333333333333
FOMC statements,2004-09-21,hawkish,dict_label,neutral,Dictionary,0,0.08333333333333333
FOMC statements,2004-11-10,hawkish,dict_label,neutral,Dictionary,0,0.08333333333333333
FOMC statements,2004-12-14,hawkish,dict_label,neutral,Dictionary,0,0
FOMC statements,2005-02-02,hawkish,dict_label,neutral,Dictionary,0,0
FOMC statements,2005-03-22,hawkish,dict_label,hawkish,Dictionary,1,0.08333333333333333
FOMC statements,2005-05-03,hawkish,dict_label,neutral,Dictionary,0,0.08333333333333333
FOMC statements,2005-06-30,hawkish,dict_label,neutral,Dictionary,0,0.08333333333333333
FOMC statements,2005-08-09,hawkish,dict_label,hawkish,Dictionary,1,0.16666666666666666
FOMC statements,2005-09-20,hawkish,dict_label,hawkish,Dictionary,1,0.25
FOMC statements,2005-11-01,hawkish,dict_label,hawkish,Dictionary,1,0.3333333333333333
FOMC statements,2005-12-13,hawkish,dict_label,hawkish,Dictionary,1,0.4166666666666667
FOMC statements,2006-01-31,hawkish,dict_label,hawkish,Dictionary,1,0.5
FOMC statements,2006-03-28,hawkish,dict_label,hawkish,Dictionary,1,0.5833333333333334
FOMC statements,2006-05-10,hawkish,dict_label,hawkish,Dictionary,1,0.6666666666666666
FOMC statements,2006-06-29,hawkish,dict_label,hawkish,Dictionary,1,0.75
FOMC statements,2006-08-08,neutral,dict_label,hawkish,Dictionary,0,0.75
FOMC statements,2006-09-20,neutral,dict_label,hawkish,Dictionary,0,0.6666666666666666
FOMC statements,2006-10-25,neutral,dict_label,hawkish,Dictionary,0,0.6666666666666666
FOMC statements,2006-12-12,neutral,dict_label,hawkish,Dictionary,0,0.6666666666666666
FOMC statements,2007-01-31,neutral,dict_label,hawkish,Dictionary,0,0.5833333333333334
FOMC statements,2007-03-21,neutral,dict_label,hawkish,Dictionary,0,0.5
FOMC statements,2007-05-09,neutral,dict_label,neutral,Dictionary,1,0.5
FOMC statements,2007-06-28,NA,dict_label,neutral,Dictionary,0,0.4166666666666667
FOMC statements,2007-08-07,neutral,dict_label,hawkish,Dictionary,0,0.3333333333333333
FOMC statements,2007-08-17,NA,dict_label,dovish,Dictionary,0,0.25
FOMC statements,2007-09-18,dovish,dict_label,dovish,Dictionary,1,0.25
FOMC statements,2007-10-31,dovish,dict_label,neutral,Dictionary,0,0.16666666666666666
FOMC statements,2007-12-11,dovish,dict_label,dovish,Dictionary,1,0.25
FOMC statements,2008-01-22,dovish,dict_label,dovish,Dictionary,1,0.3333333333333333
FOMC statements,2008-01-30,dovish,dict_label,dovish,Dictionary,1,0.4166666666666667
FOMC statements,2008-03-11,NA,dict_label,neutral,Dictionary,0,0.4166666666666667
FOMC statements,2008-03-18,dovish,dict_label,dovish,Dictionary,1,0.5
FOMC statements,2008-04-30,dovish,dict_label,dovish,Dictionary,1,0.5833333333333334
FOMC statements,2008-06-25,neutral,dict_label,dovish,Dictionary,0,0.5
FOMC statements,2008-08-05,neutral,dict_label,dovish,Dictionary,0,0.5
FOMC statements,2008-09-16,neutral,dict_label,dovish,Dictionary,0,0.5
FOMC statements,2008-10-08,dovish,dict_label,neutral,Dictionary,0,0.5
FOMC statements,2008-10-29,dovish,dict_label,dovish,Dictionary,1,0.5
FOMC statements,2008-12-16,dovish,dict_label,neutral,Dictionary,0,0.5
FOMC statements,2009-01-28,neutral,dict_label,dovish,Dictionary,0,0.4166666666666667
FOMC statements,2009-03-18,neutral,dict_label,dovish,Dictionary,0,0.3333333333333333
FOMC statements,2009-04-29,neutral,dict_label,dovish,Dictionary,0,0.25
FOMC statements,2009-06-24,neutral,dict_label,dovish,Dictionary,0,0.25
FOMC statements,2009-08-12,neutral,dict_label,dovish,Dictionary,0,0.16666666666666666
FOMC statements,2009-09-23,neutral,dict_label,dovish,Dictionary,0,0.08333333333333333
FOMC statements,2009-11-04,neutral,dict_label,dovish,Dictionary,0,0.08333333333333333
FOMC statements,2009-12-16,neutral,dict_label,dovish,Dictionary,0,0.08333333333333333
FOMC statements,2010-01-27,neutral,dict_label,dovish,Dictionary,0,0.08333333333333333
FOMC statements,2010-03-16,neutral,dict_label,dovish,Dictionary,0,0.08333333333333333
FOMC statements,2010-04-28,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2010-06-23,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2010-08-10,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2010-09-21,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2010-11-03,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2010-12-14,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2011-01-26,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2011-03-15,neutral,dict_label,neutral,Dictionary,1,0.08333333333333333
FOMC statements,2011-04-27,neutral,dict_label,hawkish,Dictionary,0,0.08333333333333333
FOMC statements,2011-06-22,neutral,dict_label,dovish,Dictionary,0,0.08333333333333333
FOMC statements,2011-08-09,neutral,dict_label,dovish,Dictionary,0,0.08333333333333333
FOMC statements,2011-09-21,neutral,dict_label,dovish,Dictionary,0,0.08333333333333333
FOMC statements,2011-11-02,neutral,dict_label,dovish,Dictionary,0,0.08333333333333333
FOMC statements,2011-12-13,neutral,dict_label,dovish,Dictionary,0,0.08333333333333333
FOMC statements,2012-01-25,neutral,dict_label,dovish,Dictionary,0,0.08333333333333333
FOMC statements,2012-03-13,neutral,dict_label,dovish,Dictionary,0,0.08333333333333333
FOMC statements,2012-04-25,neutral,dict_label,dovish,Dictionary,0,0.08333333333333333
FOMC statements,2012-06-20,neutral,dict_label,dovish,Dictionary,0,0.08333333333333333
FOMC statements,2012-08-01,neutral,dict_label,dovish,Dictionary,0,0.08333333333333333
FOMC statements,2012-09-13,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2012-10-24,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2012-12-12,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2013-01-30,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2013-03-20,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2013-05-01,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2013-06-19,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2013-07-31,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2013-09-18,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2013-10-30,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2013-12-18,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2014-01-29,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2014-03-19,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2014-04-30,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2014-06-18,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2014-07-30,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2014-09-17,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2014-10-29,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2014-12-17,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2015-01-28,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2015-03-18,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2015-04-29,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2015-06-17,neutral,dict_label,neutral,Dictionary,1,0.08333333333333333
FOMC statements,2015-07-29,neutral,dict_label,neutral,Dictionary,1,0.16666666666666666
FOMC statements,2015-09-17,neutral,dict_label,hawkish,Dictionary,0,0.16666666666666666
FOMC statements,2015-10-28,neutral,dict_label,hawkish,Dictionary,0,0.16666666666666666
FOMC statements,2015-12-16,hawkish,dict_label,hawkish,Dictionary,1,0.25
FOMC statements,2016-01-27,neutral,dict_label,dovish,Dictionary,0,0.25
FOMC statements,2016-03-16,neutral,dict_label,neutral,Dictionary,1,0.3333333333333333
FOMC statements,2016-04-27,neutral,dict_label,hawkish,Dictionary,0,0.3333333333333333
FOMC statements,2016-06-15,neutral,dict_label,neutral,Dictionary,1,0.4166666666666667
FOMC statements,2016-07-27,neutral,dict_label,neutral,Dictionary,1,0.5
FOMC statements,2016-09-21,neutral,dict_label,hawkish,Dictionary,0,0.5
FOMC statements,2016-11-02,neutral,dict_label,hawkish,Dictionary,0,0.5
FOMC statements,2016-12-14,hawkish,dict_label,hawkish,Dictionary,1,0.5
FOMC statements,2017-02-01,neutral,dict_label,hawkish,Dictionary,0,0.4166666666666667
FOMC statements,2017-03-15,hawkish,dict_label,hawkish,Dictionary,1,0.5
FOMC statements,2017-05-03,neutral,dict_label,neutral,Dictionary,1,0.5833333333333334
FOMC statements,2017-06-14,hawkish,dict_label,hawkish,Dictionary,1,0.5833333333333334
FOMC statements,2017-07-26,neutral,dict_label,hawkish,Dictionary,0,0.5833333333333334
FOMC statements,2017-09-20,neutral,dict_label,hawkish,Dictionary,0,0.5
FOMC statements,2017-11-01,neutral,dict_label,neutral,Dictionary,1,0.5833333333333334
FOMC statements,2017-12-13,hawkish,dict_label,hawkish,Dictionary,1,0.5833333333333334
FOMC statements,2018-01-31,neutral,dict_label,neutral,Dictionary,1,0.5833333333333334
FOMC statements,2018-03-21,hawkish,dict_label,hawkish,Dictionary,1,0.6666666666666666
FOMC statements,2018-05-02,neutral,dict_label,hawkish,Dictionary,0,0.6666666666666666
FOMC statements,2018-06-13,hawkish,dict_label,hawkish,Dictionary,1,0.6666666666666666
FOMC statements,2018-08-01,neutral,dict_label,hawkish,Dictionary,0,0.6666666666666666
FOMC statements,2018-09-26,hawkish,dict_label,hawkish,Dictionary,1,0.6666666666666666
FOMC statements,2018-11-08,neutral,dict_label,hawkish,Dictionary,0,0.5833333333333334
FOMC statements,2018-12-19,hawkish,dict_label,hawkish,Dictionary,1,0.5833333333333334
FOMC statements,2019-01-30,neutral,dict_label,hawkish,Dictionary,0,0.5833333333333334
FOMC statements,2019-03-20,neutral,dict_label,neutral,Dictionary,1,0.6666666666666666
FOMC statements,2019-05-01,neutral,dict_label,hawkish,Dictionary,0,0.5833333333333334
FOMC statements,2019-06-19,neutral,dict_label,hawkish,Dictionary,0,0.5
FOMC statements,2019-07-31,dovish,dict_label,hawkish,Dictionary,0,0.4166666666666667
FOMC statements,2019-09-18,dovish,dict_label,hawkish,Dictionary,0,0.3333333333333333
FOMC statements,2019-10-30,dovish,dict_label,hawkish,Dictionary,0,0.3333333333333333
FOMC statements,2019-12-11,neutral,dict_label,hawkish,Dictionary,0,0.25
FOMC statements,2020-01-29,neutral,dict_label,hawkish,Dictionary,0,0.25
FOMC statements,2020-03-03,dovish,dict_label,dovish,Dictionary,1,0.25
FOMC statements,2020-03-15,dovish,dict_label,dovish,Dictionary,1,0.3333333333333333
FOMC statements,2020-03-23,NA,dict_label,neutral,Dictionary,0,0.25
FOMC statements,2020-04-29,neutral,dict_label,dovish,Dictionary,0,0.25
FOMC statements,2020-06-10,neutral,dict_label,dovish,Dictionary,0,0.16666666666666666
FOMC statements,2020-07-29,neutral,dict_label,dovish,Dictionary,0,0.16666666666666666
FOMC statements,2020-09-16,neutral,dict_label,dovish,Dictionary,0,0.16666666666666666
FOMC statements,2020-11-05,neutral,dict_label,dovish,Dictionary,0,0.16666666666666666
FOMC statements,2020-12-16,neutral,dict_label,dovish,Dictionary,0,0.16666666666666666
FOMC statements,2021-01-27,neutral,dict_label,dovish,Dictionary,0,0.16666666666666666
FOMC statements,2021-03-17,neutral,dict_label,dovish,Dictionary,0,0.16666666666666666
FOMC statements,2021-04-28,neutral,dict_label,dovish,Dictionary,0,0.16666666666666666
FOMC statements,2021-06-16,neutral,dict_label,dovish,Dictionary,0,0.08333333333333333
FOMC statements,2021-07-28,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2021-09-22,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2021-11-03,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2021-12-15,neutral,dict_label,dovish,Dictionary,0,0
FOMC statements,2022-01-26,neutral,dict_label,hawkish,Dictionary,0,0
FOMC statements,2022-03-16,hawkish,dict_label,hawkish,Dictionary,1,0.08333333333333333
FOMC statements,2022-05-04,hawkish,dict_label,hawkish,Dictionary,1,0.16666666666666666
FOMC statements,2022-06-15,hawkish,dict_label,hawkish,Dictionary,1,0.25
FOMC statements,2022-07-27,hawkish,dict_label,hawkish,Dictionary,1,0.3333333333333333
FOMC statements,2022-09-21,hawkish,dict_label,hawkish,Dictionary,1,0.4166666666666667
FOMC statements,2022-11-02,hawkish,dict_label,hawkish,Dictionary,1,0.5
FOMC statements,2022-12-14,hawkish,dict_label,hawkish,Dictionary,1,0.5833333333333334
FOMC statements,2023-02-01,hawkish,dict_label,hawkish,Dictionary,1,0.6666666666666666
FOMC statements,2023-03-22,hawkish,dict_label,hawkish,Dictionary,1,0.75
FOMC statements,2023-05-03,hawkish,dict_label,hawkish,Dictionary,1,0.8333333333333334
FOMC statements,2023-06-14,neutral,dict_label,hawkish,Dictionary,0,0.8333333333333334
FOMC statements,2023-07-26,hawkish,dict_label,hawkish,Dictionary,1,0.9166666666666666
FOMC statements,2023-09-20,neutral,dict_label,hawkish,Dictionary,0,0.8333333333333334
FOMC statements,2023-11-01,neutral,dict_label,hawkish,Dictionary,0,0.75
FOMC statements,2023-12-13,neutral,dict_label,hawkish,Dictionary,0,0.6666666666666666
FOMC statements,2024-01-31,neutral,dict_label,hawkish,Dictionary,0,0.5833333333333334
FOMC statements,2024-03-20,neutral,dict_label,hawkish,Dictionary,0,0.5
FOMC statements,2024-05-01,neutral,dict_label,hawkish,Dictionary,0,0.4166666666666667
FOMC statements,2024-06-12,neutral,dict_label,hawkish,Dictionary,0,0.3333333333333333
FOMC statements,2024-07-31,neutral,dict_label,hawkish,Dictionary,0,0.25
FOMC statements,2024-09-18,dovish,dict_label,neutral,Dictionary,0,0.16666666666666666
FOMC statements,2024-11-07,dovish,dict_label,hawkish,Dictionary,0,0.08333333333333333
FOMC statements,2024-12-18,dovish,dict_label,hawkish,Dictionary,0,0.08333333333333333
FOMC statements,2025-01-29,neutral,dict_label,hawkish,Dictionary,0,0
FOMC statements,2025-03-19,neutral,dict_label,hawkish,Dictionary,0,0
FOMC statements,2025-05-07,neutral,dict_label,hawkish,Dictionary,0,0
FOMC statements,2025-06-18,neutral,dict_label,hawkish,Dictionary,0,0
FOMC statements,2025-07-30,neutral,dict_label,hawkish,Dictionary,0,0
FOMC statements,2025-09-17,dovish,dict_label,dovish,Dictionary,1,0.08333333333333333
FOMC statements,2025-10-29,dovish,dict_label,dovish,Dictionary,1,0.16666666666666666
FOMC statements,2025-12-10,dovish,dict_label,dovish,Dictionary,1,0.25
FOMC statements,2026-01-28,neutral,dict_label,hawkish,Dictionary,0,0.25
FOMC statements,2026-03-18,neutral,dict_label,hawkish,Dictionary,0,0.25
FOMC statements,1994-02-04,hawkish,rf_label_norm,hawkish,Random Forest,1,1
FOMC statements,1994-03-22,hawkish,rf_label_norm,hawkish,Random Forest,1,1
FOMC statements,1994-04-18,hawkish,rf_label_norm,hawkish,Random Forest,1,1
FOMC statements,1994-05-17,hawkish,rf_label_norm,hawkish,Random Forest,1,1
FOMC statements,1994-08-16,hawkish,rf_label_norm,dovish,Random Forest,0,0.8
FOMC statements,1994-11-15,hawkish,rf_label_norm,dovish,Random Forest,0,0.6666666666666666
