corpus_long,meeting_date,rate_label,net_score,comparison_score,other_score,comparison
FOMC statements,1994-02-04,hawkish,0.07692307692307693,rf_score,0.7730158730158732,Dictionary vs Random Forest
FOMC statements,1994-02-04,hawkish,0.07692307692307693,bert_score,0.14285714285714285,Dictionary vs RoBERTa/BERT
FOMC statements,1994-03-22,hawkish,0.09090909090909093,rf_score,0.518921130952381,Dictionary vs Random Forest
FOMC statements,1994-03-22,hawkish,0.09090909090909093,bert_score,0.16666666666666666,Dictionary vs RoBERTa/BERT
FOMC statements,1994-04-18,hawkish,0,rf_score,0.26216976986873186,Dictionary vs Random Forest
FOMC statements,1994-04-18,hawkish,0,bert_score,0.16666666666666666,Dictionary vs RoBERTa/BERT
FOMC statements,1994-05-17,hawkish,0,rf_score,0.7154901960784313,Dictionary vs Random Forest
FOMC statements,1994-05-17,hawkish,0,bert_score,0.2307692307692308,Dictionary vs RoBERTa/BERT
FOMC statements,1994-08-16,hawkish,0.16666666666666666,rf_score,-0.02738496071829399,Dictionary vs Random Forest
FOMC statements,1994-08-16,hawkish,0.16666666666666666,bert_score,-0.09090909090909093,Dictionary vs RoBERTa/BERT
FOMC statements,1994-11-15,hawkish,0.09090909090909093,rf_score,-0.01161616161616152,Dictionary vs Random Forest
FOMC statements,1994-11-15,hawkish,0.09090909090909093,bert_score,0.16666666666666666,Dictionary vs RoBERTa/BERT
FOMC statements,1995-02-01,hawkish,0,rf_score,0.4647005015748064,Dictionary vs Random Forest
FOMC statements,1995-02-01,hawkish,0,bert_score,0.2307692307692308,Dictionary vs RoBERTa/BERT
FOMC statements,1995-07-06,dovish,0.16666666666666666,rf_score,-0.6610286538857968,Dictionary vs Random Forest
FOMC statements,1995-07-06,dovish,0.16666666666666666,bert_score,-0.2307692307692308,Dictionary vs RoBERTa/BERT
FOMC statements,1995-12-19,dovish,-0.09090909090909093,rf_score,-0.6570350836270648,Dictionary vs Random Forest
FOMC statements,1995-12-19,dovish,-0.09090909090909093,bert_score,-0.2307692307692308,Dictionary vs RoBERTa/BERT
FOMC statements,1996-01-31,dovish,0,rf_score,0.1578104997557885,Dictionary vs Random Forest
FOMC statements,1996-01-31,dovish,0,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,1997-03-25,hawkish,-0.07692307692307693,rf_score,0.5488214442562269,Dictionary vs Random Forest
FOMC statements,1997-03-25,hawkish,-0.07692307692307693,bert_score,0.07692307692307693,Dictionary vs RoBERTa/BERT
FOMC statements,1998-09-29,dovish,0,rf_score,-0.5112621210918424,Dictionary vs Random Forest
FOMC statements,1998-09-29,dovish,0,bert_score,-0.16666666666666666,Dictionary vs RoBERTa/BERT
FOMC statements,1998-10-15,dovish,-0.09090909090909093,rf_score,-0.02003676470588233,Dictionary vs Random Forest
FOMC statements,1998-10-15,dovish,-0.09090909090909093,bert_score,-0.16666666666666666,Dictionary vs RoBERTa/BERT
FOMC statements,1998-11-17,dovish,0.16666666666666666,rf_score,0.2538040707683566,Dictionary vs Random Forest
FOMC statements,1998-11-17,dovish,0.16666666666666666,bert_score,-0.09090909090909093,Dictionary vs RoBERTa/BERT
FOMC statements,1999-05-18,neutral,-0.09090909090909093,rf_score,0.02512784100389392,Dictionary vs Random Forest
FOMC statements,1999-05-18,neutral,-0.09090909090909093,bert_score,-0.14285714285714285,Dictionary vs RoBERTa/BERT
FOMC statements,1999-06-30,hawkish,0.09090909090909093,rf_score,-0.0503494955404179,Dictionary vs Random Forest
FOMC statements,1999-06-30,hawkish,0.09090909090909093,bert_score,0.09090909090909093,Dictionary vs RoBERTa/BERT
FOMC statements,1999-08-24,hawkish,0.06666666666666667,rf_score,-0.5028273809523811,Dictionary vs Random Forest
FOMC statements,1999-08-24,hawkish,0.06666666666666667,bert_score,0.09090909090909093,Dictionary vs RoBERTa/BERT
FOMC statements,1999-10-05,neutral,0,rf_score,-0.3991756814658068,Dictionary vs Random Forest
FOMC statements,1999-10-05,neutral,0,bert_score,0.2307692307692308,Dictionary vs RoBERTa/BERT
FOMC statements,1999-11-16,hawkish,0.2857142857142857,rf_score,0.3242533124360856,Dictionary vs Random Forest
FOMC statements,1999-11-16,hawkish,0.2857142857142857,bert_score,0.14285714285714285,Dictionary vs RoBERTa/BERT
FOMC statements,1999-12-21,neutral,0.09090909090909093,rf_score,-0.6345330111557129,Dictionary vs Random Forest
FOMC statements,1999-12-21,neutral,0.09090909090909093,bert_score,-0.2307692307692308,Dictionary vs RoBERTa/BERT
FOMC statements,2000-02-02,hawkish,0.2307692307692308,rf_score,0.6388888888888888,Dictionary vs Random Forest
FOMC statements,2000-02-02,hawkish,0.2307692307692308,bert_score,0.14285714285714285,Dictionary vs RoBERTa/BERT
FOMC statements,2000-03-21,hawkish,0.2307692307692308,rf_score,0.44666666666666666,Dictionary vs Random Forest
FOMC statements,2000-03-21,hawkish,0.2307692307692308,bert_score,0.2857142857142857,Dictionary vs RoBERTa/BERT
FOMC statements,2000-05-16,hawkish,0.16666666666666666,rf_score,0.419607843137255,Dictionary vs Random Forest
FOMC statements,2000-05-16,hawkish,0.16666666666666666,bert_score,0.3333333333333333,Dictionary vs RoBERTa/BERT
FOMC statements,2000-06-28,neutral,0.09090909090909093,rf_score,-0.2809400261994082,Dictionary vs Random Forest
FOMC statements,2000-06-28,neutral,0.09090909090909093,bert_score,-0.07692307692307693,Dictionary vs RoBERTa/BERT
FOMC statements,2000-08-22,neutral,0.09090909090909093,rf_score,-0.2489289747007087,Dictionary vs Random Forest
FOMC statements,2000-08-22,neutral,0.09090909090909093,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2000-10-03,neutral,0.09090909090909093,rf_score,-0.2804859048488275,Dictionary vs Random Forest
FOMC statements,2000-10-03,neutral,0.09090909090909093,bert_score,-0.14285714285714285,Dictionary vs RoBERTa/BERT
FOMC statements,2000-11-15,neutral,0,rf_score,-0.49584192987781983,Dictionary vs Random Forest
FOMC statements,2000-11-15,neutral,0,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2000-12-19,neutral,-0.16666666666666666,rf_score,-0.6545239712053446,Dictionary vs Random Forest
FOMC statements,2000-12-19,neutral,-0.16666666666666666,bert_score,-0.2307692307692308,Dictionary vs RoBERTa/BERT
FOMC statements,2001-01-03,dovish,-0.2857142857142857,rf_score,-0.9283757716049384,Dictionary vs Random Forest
FOMC statements,2001-01-03,dovish,-0.2857142857142857,bert_score,-0.375,Dictionary vs RoBERTa/BERT
FOMC statements,2001-01-31,dovish,-0.375,rf_score,-0.8019982210771687,Dictionary vs Random Forest
FOMC statements,2001-01-31,dovish,-0.375,bert_score,-0.3333333333333333,Dictionary vs RoBERTa/BERT
FOMC statements,2001-03-20,dovish,-0.3333333333333333,rf_score,-0.5375939849624062,Dictionary vs Random Forest
FOMC statements,2001-03-20,dovish,-0.3333333333333333,bert_score,-0.375,Dictionary vs RoBERTa/BERT
FOMC statements,2001-04-18,dovish,-0.25,rf_score,-0.921925925925926,Dictionary vs Random Forest
FOMC statements,2001-04-18,dovish,-0.25,bert_score,-0.29411764705882354,Dictionary vs RoBERTa/BERT
FOMC statements,2001-05-15,dovish,-0.3333333333333333,rf_score,-0.8678571428571429,Dictionary vs Random Forest
FOMC statements,2001-05-15,dovish,-0.3333333333333333,bert_score,-0.3333333333333333,Dictionary vs RoBERTa/BERT
FOMC statements,2001-06-27,dovish,-0.3333333333333333,rf_score,-0.9614583333333332,Dictionary vs Random Forest
FOMC statements,2001-06-27,dovish,-0.3333333333333333,bert_score,-0.375,Dictionary vs RoBERTa/BERT
FOMC statements,2001-08-21,dovish,-0.3333333333333333,rf_score,-0.9748960695389268,Dictionary vs Random Forest
FOMC statements,2001-08-21,dovish,-0.3333333333333333,bert_score,-0.375,Dictionary vs RoBERTa/BERT
FOMC statements,2001-09-17,dovish,-0.3333333333333333,rf_score,-0.6049023998242749,Dictionary vs Random Forest
FOMC statements,2001-09-17,dovish,-0.3333333333333333,bert_score,-0.375,Dictionary vs RoBERTa/BERT
FOMC statements,2001-10-02,dovish,-0.3333333333333333,rf_score,-0.978095238095238,Dictionary vs Random Forest
FOMC statements,2001-10-02,dovish,-0.3333333333333333,bert_score,-0.375,Dictionary vs RoBERTa/BERT
FOMC statements,2001-11-06,dovish,-0.3333333333333333,rf_score,-0.9689198467595208,Dictionary vs Random Forest
FOMC statements,2001-11-06,dovish,-0.3333333333333333,bert_score,-0.3333333333333333,Dictionary vs RoBERTa/BERT
FOMC statements,2001-12-11,dovish,-0.25,rf_score,-0.9867472680771912,Dictionary vs Random Forest
FOMC statements,2001-12-11,dovish,-0.25,bert_score,-0.375,Dictionary vs RoBERTa/BERT
FOMC statements,2002-01-30,neutral,-0.2857142857142857,rf_score,-0.5476376737133416,Dictionary vs Random Forest
FOMC statements,2002-01-30,neutral,-0.2857142857142857,bert_score,-0.07692307692307693,Dictionary vs RoBERTa/BERT
FOMC statements,2002-03-19,neutral,0.09090909090909093,rf_score,-0.08727935717621624,Dictionary vs Random Forest
FOMC statements,2002-03-19,neutral,0.09090909090909093,bert_score,0.09090909090909093,Dictionary vs RoBERTa/BERT
FOMC statements,2002-05-07,neutral,0.09090909090909093,rf_score,0.04744370992966335,Dictionary vs Random Forest
FOMC statements,2002-05-07,neutral,0.09090909090909093,bert_score,0.09090909090909093,Dictionary vs RoBERTa/BERT
FOMC statements,2002-06-26,neutral,0.09090909090909093,rf_score,-0.10906875956054853,Dictionary vs Random Forest
FOMC statements,2002-06-26,neutral,0.09090909090909093,bert_score,0,Dictionary vs RoBERTa/BERT
FOMC statements,2002-08-13,neutral,-0.2857142857142857,rf_score,-0.2767449880807517,Dictionary vs Random Forest
