corpus_long,bank,meeting_date,score_component,score
FOMC statements,FOMC,1994-02-04,Policy score,0
FOMC statements,FOMC,1994-02-04,Economic score,0.09090909090909093
FOMC statements,FOMC,1994-02-04,Aggregate net score,0.07692307692307693
FOMC statements,FOMC,1994-03-22,Policy score,0.09090909090909093
FOMC statements,FOMC,1994-03-22,Economic score,0
FOMC statements,FOMC,1994-03-22,Aggregate net score,0.09090909090909093
FOMC statements,FOMC,1994-04-18,Policy score,0
FOMC statements,FOMC,1994-04-18,Economic score,0
FOMC statements,FOMC,1994-04-18,Aggregate net score,0
FOMC statements,FOMC,1994-05-17,Policy score,-0.09090909090909093
FOMC statements,FOMC,1994-05-17,Economic score,0.09090909090909093
FOMC statements,FOMC,1994-05-17,Aggregate net score,0
FOMC statements,FOMC,1994-08-16,Policy score,0
FOMC statements,FOMC,1994-08-16,Economic score,0.16666666666666666
FOMC statements,FOMC,1994-08-16,Aggregate net score,0.16666666666666666
FOMC statements,FOMC,1994-11-15,Policy score,0.09090909090909093
FOMC statements,FOMC,1994-11-15,Economic score,0
FOMC statements,FOMC,1994-11-15,Aggregate net score,0.09090909090909093
FOMC statements,FOMC,1995-02-01,Policy score,0
FOMC statements,FOMC,1995-02-01,Economic score,0
FOMC statements,FOMC,1995-02-01,Aggregate net score,0
FOMC statements,FOMC,1995-03-28,Policy score,0
FOMC statements,FOMC,1995-03-28,Economic score,0
FOMC statements,FOMC,1995-03-28,Aggregate net score,0
FOMC statements,FOMC,1995-07-06,Policy score,0.09090909090909093
FOMC statements,FOMC,1995-07-06,Economic score,0.09090909090909093
FOMC statements,FOMC,1995-07-06,Aggregate net score,0.16666666666666666
FOMC statements,FOMC,1995-12-19,Policy score,-0.09090909090909093
FOMC statements,FOMC,1995-12-19,Economic score,0
FOMC statements,FOMC,1995-12-19,Aggregate net score,-0.09090909090909093
FOMC statements,FOMC,1996-01-31,Policy score,0
FOMC statements,FOMC,1996-01-31,Economic score,0
FOMC statements,FOMC,1996-01-31,Aggregate net score,0
FOMC statements,FOMC,1997-03-25,Policy score,0
FOMC statements,FOMC,1997-03-25,Economic score,-0.07692307692307693
FOMC statements,FOMC,1997-03-25,Aggregate net score,-0.07692307692307693
FOMC statements,FOMC,1998-09-29,Policy score,0
FOMC statements,FOMC,1998-09-29,Economic score,0
FOMC statements,FOMC,1998-09-29,Aggregate net score,0
FOMC statements,FOMC,1998-10-15,Policy score,-0.09090909090909093
FOMC statements,FOMC,1998-10-15,Economic score,0
FOMC statements,FOMC,1998-10-15,Aggregate net score,-0.09090909090909093
FOMC statements,FOMC,1998-11-17,Policy score,0
FOMC statements,FOMC,1998-11-17,Economic score,0.16666666666666666
FOMC statements,FOMC,1998-11-17,Aggregate net score,0.16666666666666666
FOMC statements,FOMC,1999-02-03,Policy score,0
FOMC statements,FOMC,1999-02-03,Economic score,0
FOMC statements,FOMC,1999-02-03,Aggregate net score,0
FOMC statements,FOMC,1999-03-30,Policy score,0
FOMC statements,FOMC,1999-03-30,Economic score,0
FOMC statements,FOMC,1999-03-30,Aggregate net score,0
FOMC statements,FOMC,1999-05-18,Policy score,-0.09090909090909093
FOMC statements,FOMC,1999-05-18,Economic score,0
FOMC statements,FOMC,1999-05-18,Aggregate net score,-0.09090909090909093
FOMC statements,FOMC,1999-06-30,Policy score,0
FOMC statements,FOMC,1999-06-30,Economic score,0.09090909090909093
FOMC statements,FOMC,1999-06-30,Aggregate net score,0.09090909090909093
FOMC statements,FOMC,1999-08-24,Policy score,-0.09090909090909093
FOMC statements,FOMC,1999-08-24,Economic score,0.14285714285714285
FOMC statements,FOMC,1999-08-24,Aggregate net score,0.06666666666666667
FOMC statements,FOMC,1999-10-05,Policy score,0
FOMC statements,FOMC,1999-10-05,Economic score,0
FOMC statements,FOMC,1999-10-05,Aggregate net score,0
FOMC statements,FOMC,1999-11-16,Policy score,0.16666666666666666
FOMC statements,FOMC,1999-11-16,Economic score,0.16666666666666666
FOMC statements,FOMC,1999-11-16,Aggregate net score,0.2857142857142857
FOMC statements,FOMC,1999-12-21,Policy score,0
FOMC statements,FOMC,1999-12-21,Economic score,0.09090909090909093
FOMC statements,FOMC,1999-12-21,Aggregate net score,0.09090909090909093
FOMC statements,FOMC,2000-02-02,Policy score,0.16666666666666666
FOMC statements,FOMC,2000-02-02,Economic score,0.09090909090909093
FOMC statements,FOMC,2000-02-02,Aggregate net score,0.2307692307692308
FOMC statements,FOMC,2000-03-21,Policy score,0.16666666666666666
FOMC statements,FOMC,2000-03-21,Economic score,0.09090909090909093
FOMC statements,FOMC,2000-03-21,Aggregate net score,0.2307692307692308
FOMC statements,FOMC,2000-05-16,Policy score,0.16666666666666666
FOMC statements,FOMC,2000-05-16,Economic score,0
FOMC statements,FOMC,2000-05-16,Aggregate net score,0.16666666666666666
FOMC statements,FOMC,2000-06-28,Policy score,0
FOMC statements,FOMC,2000-06-28,Economic score,0.09090909090909093
FOMC statements,FOMC,2000-06-28,Aggregate net score,0.09090909090909093
FOMC statements,FOMC,2000-08-22,Policy score,0
FOMC statements,FOMC,2000-08-22,Economic score,0.09090909090909093
