corpus,central_bank,document_type,meeting_date,event_id,source,is_scheduled,is_fomc_intermeeting
ECB Press Conference,ECB,Press Conference,1999-01-07,ecb_pressconf_19990107,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,1999-02-04,ecb_pressconf_19990204,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,1999-03-04,ecb_pressconf_19990304,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,1999-04-08,ecb_pressconf_19990408,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,1999-05-06,ecb_pressconf_19990506,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,1999-07-15,ecb_pressconf_19990715,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,1999-09-09,ecb_pressconf_19990909,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,1999-10-07,ecb_pressconf_19991007,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,1999-11-04,ecb_pressconf_19991104,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,1999-12-02,ecb_pressconf_19991202,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2000-02-03,ecb_pressconf_20000203,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2000-03-02,ecb_pressconf_20000302,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2000-03-30,ecb_pressconf_20000330,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2000-04-13,ecb_pressconf_20000413,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2000-05-11,ecb_pressconf_20000511,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2000-06-08,ecb_pressconf_20000608,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2000-07-06,ecb_pressconf_20000706,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2000-09-14,ecb_pressconf_20000914,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2000-10-05,ecb_pressconf_20001005,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2000-10-19,ecb_pressconf_20001019,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2000-11-02,ecb_pressconf_20001102,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2000-12-14,ecb_pressconf_20001214,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2001-02-01,ecb_pressconf_20010201,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2001-03-01,ecb_pressconf_20010301,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2001-05-10,ecb_pressconf_20010510,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2001-06-07,ecb_pressconf_20010607,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2001-06-21,ecb_pressconf_20010621,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2001-07-05,ecb_pressconf_20010705,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2001-08-30,ecb_pressconf_20010830,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2001-10-11,ecb_pressconf_20011011,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2001-11-08,ecb_pressconf_20011108,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2001-12-06,ecb_pressconf_20011206,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2001-12-13,ecb_pressconf_20011213,ecb_press_conferences,TRUE,FALSE
ECB Press Conference,ECB,Press Conference,2002-01-03,ecb_pressconf_20020103,ecb_press_conferences,TRUE,FALSE
