corpus_long,method,n,mean,sd,min,p10,median,p90,max
FOMC statements,Dictionary,242,-0.04778895144352682,0.23271125623515065,-0.5172413793103449,-0.3333333333333333,0,0.2821428571428573,0.4615384615384616
FOMC statements,Random Forest,235,0.01019934722822408,0.4761913086650245,-0.9867472680771912,-0.6885094233984814,0.00847764304660856,0.6900467026437614,1
FOMC statements,RoBERTa/BERT,237,-0.11265836154265181,0.2145499601354258,-0.5454545454545454,-0.375,-0.14285714285714285,0.1705882352941177,0.47368421052631576
FOMC press conferences,Dictionary,92,0.05734030542295596,0.3544031374271463,-0.6842105263157895,-0.45442260442260446,0.06599713055954089,0.5051774891774892,0.7857142857142857
FOMC press conferences,Random Forest,91,0.07108651065333088,0.45046847554682107,-0.984375,-0.4211760461760462,0.02598020907128852,0.8005769230769231,0.9956521739130434
FOMC press conferences,RoBERTa/BERT,91,-0.22880663648782834,0.14565542897855285,-0.5913978494623656,-0.4125874125874126,-0.22627737226277372,-0.02857142857142857,0.14606741573033707
ECB statements,Dictionary,284,-0.09562018259310973,0.20237485248604048,-0.6818181818181818,-0.5238095238095238,0,0,0.42857142857142855
ECB statements,Random Forest,275,0.008774890662435779,0.22544653423602432,-1,-0.11397371412521419,0.00295682210923696,0.03267665539863711,1
ECB statements,RoBERTa/BERT,276,-0.028394155057525402,0.12227339778922727,-0.5384615384615384,-0.19090909090909092,0,0.05012531328320802,0.3636363636363637
ECB press conferences,Dictionary,266,0.021488479104202825,0.3535466952046253,-0.7391304347826086,-0.4954545454545455,0.055727554179566555,0.46802721088435373,0.7183098591549296
ECB press conferences,Random Forest,250,-0.002837319908783904,0.34082137909763294,-1,-0.26033925182976414,-0.00515735486409973,0.3338205329595141,1
ECB press conferences,RoBERTa/BERT,266,-0.1450133531145148,0.18784250319300796,-0.6666666666666666,-0.3756720430107527,-0.15023625429553267,0.1011833532774897,0.25301204819277107
