label_a,label_b,n,corpus,label_a_name,label_b_name,total,agreement,corpus_long,predicted,actual,pct_of_actual
hawkish,hawkish,40,FOMC stmt,RF,rate,235,0.843,FOMC statements,hawkish,hawkish,0.7843137254901961
neutral,hawkish,7,FOMC stmt,RF,rate,235,0.843,FOMC statements,neutral,hawkish,0.13725490196078433
dovish,hawkish,4,FOMC stmt,RF,rate,235,0.843,FOMC statements,dovish,hawkish,0.0784313725490196
hawkish,neutral,12,FOMC stmt,RF,rate,235,0.843,FOMC statements,hawkish,neutral,0.08333333333333333
neutral,neutral,123,FOMC stmt,RF,rate,235,0.843,FOMC statements,neutral,neutral,0.8541666666666666
dovish,neutral,9,FOMC stmt,RF,rate,235,0.843,FOMC statements,dovish,neutral,0.0625
hawkish,dovish,2,FOMC stmt,RF,rate,235,0.843,FOMC statements,hawkish,dovish,0.05
neutral,dovish,3,FOMC stmt,RF,rate,235,0.843,FOMC statements,neutral,dovish,0.075
dovish,dovish,35,FOMC stmt,RF,rate,235,0.843,FOMC statements,dovish,dovish,0.875
hawkish,hawkish,19,FOMC PC,RF,rate,91,0.945,FOMC press conferences,hawkish,hawkish,0.95
neutral,hawkish,1,FOMC PC,RF,rate,91,0.945,FOMC press conferences,neutral,hawkish,0.05
dovish,hawkish,0,FOMC PC,RF,rate,91,0.945,FOMC press conferences,dovish,hawkish,0
hawkish,neutral,1,FOMC PC,RF,rate,91,0.945,FOMC press conferences,hawkish,neutral,0.016666666666666666
neutral,neutral,57,FOMC PC,RF,rate,91,0.945,FOMC press conferences,neutral,neutral,0.95
dovish,neutral,2,FOMC PC,RF,rate,91,0.945,FOMC press conferences,dovish,neutral,0.03333333333333333
hawkish,dovish,0,FOMC PC,RF,rate,91,0.945,FOMC press conferences,hawkish,dovish,0
neutral,dovish,1,FOMC PC,RF,rate,91,0.945,FOMC press conferences,neutral,dovish,0.09090909090909091
dovish,dovish,10,FOMC PC,RF,rate,91,0.945,FOMC press conferences,dovish,dovish,0.9090909090909091
hawkish,hawkish,15,ECB stmt,RF,rate,275,0.887,ECB statements,hawkish,hawkish,0.5555555555555556
neutral,hawkish,0,ECB stmt,RF,rate,275,0.887,ECB statements,neutral,hawkish,0
dovish,hawkish,12,ECB stmt,RF,rate,275,0.887,ECB statements,dovish,hawkish,0.4444444444444444
hawkish,neutral,5,ECB stmt,RF,rate,275,0.887,ECB statements,hawkish,neutral,0.0228310502283105
neutral,neutral,206,ECB stmt,RF,rate,275,0.887,ECB statements,neutral,neutral,0.9406392694063926
dovish,neutral,8,ECB stmt,RF,rate,275,0.887,ECB statements,dovish,neutral,0.0365296803652968
hawkish,dovish,4,ECB stmt,RF,rate,275,0.887,ECB statements,hawkish,dovish,0.13793103448275862
neutral,dovish,2,ECB stmt,RF,rate,275,0.887,ECB statements,neutral,dovish,0.06896551724137931
dovish,dovish,23,ECB stmt,RF,rate,275,0.887,ECB statements,dovish,dovish,0.7931034482758621
hawkish,hawkish,20,ECB PC,RF,rate,250,0.896,ECB press conferences,hawkish,hawkish,0.8333333333333334
neutral,hawkish,1,ECB PC,RF,rate,250,0.896,ECB press conferences,neutral,hawkish,0.041666666666666664
dovish,hawkish,3,ECB PC,RF,rate,250,0.896,ECB press conferences,dovish,hawkish,0.125
hawkish,neutral,10,ECB PC,RF,rate,250,0.896,ECB press conferences,hawkish,neutral,0.050761421319796954
neutral,neutral,181,ECB PC,RF,rate,250,0.896,ECB press conferences,neutral,neutral,0.9187817258883249
dovish,neutral,6,ECB PC,RF,rate,250,0.896,ECB press conferences,dovish,neutral,0.030456852791878174
hawkish,dovish,3,ECB PC,RF,rate,250,0.896,ECB press conferences,hawkish,dovish,0.10344827586206896
neutral,dovish,3,ECB PC,RF,rate,250,0.896,ECB press conferences,neutral,dovish,0.10344827586206896
dovish,dovish,23,ECB PC,RF,rate,250,0.896,ECB press conferences,dovish,dovish,0.7931034482758621
