term_stem,MeanDecreaseGini,term_original,direction,corpus,corpus_long,direction_label,signed_importance,abs_signed_importance,term_plot
fund.rate,16.967188338685006,fund rate,-0.00137723529057309,fomc_stmt,FOMC statements,dovish,-16.967188338685006,16.967188338685006,fund rate___FOMC statements
dudley.vice,7.379839780558461,dudley vice,0.00118860995668365,fomc_stmt,FOMC statements,hawkish,7.379839780558461,7.379839780558461,dudley vice___FOMC statements
develop.care,7.353452394387398,develop care,-0.01263934695396771,fomc_stmt,FOMC statements,dovish,-7.353452394387398,7.353452394387398,develop care___FOMC statements
releas.inform,6.161704404091081,releas inform,1.937111283062142e-4,fomc_stmt,FOMC statements,hawkish,6.161704404091081,6.161704404091081,releas inform___FOMC statements
polici.remain,6.033891395780156,polici remain,0.00877392823288712,fomc_stmt,FOMC statements,hawkish,6.033891395780156,6.033891395780156,polici remain___FOMC statements
ongo.increas,4.854721817895794,ongo increas,0.00633778531593742,fomc_stmt,FOMC statements,hawkish,4.854721817895794,4.854721817895794,ongo increas___FOMC statements
rate.action,4.5171707922700435,rate action,-0.02872114099928799,fomc_stmt,FOMC statements,dovish,-4.5171707922700435,4.5171707922700435,rate action___FOMC statements
waller.vote,3.66465381083687,waller vote,-0.00410233696374266,fomc_stmt,FOMC statements,dovish,-3.66465381083687,3.66465381083687,waller vote___FOMC statements
expect.labor,3.612631941214768,expect labor,0.00351701365419557,fomc_stmt,FOMC statements,hawkish,3.612631941214768,3.612631941214768,expect labor___FOMC statements
hous.sector,3.596052697200761,hous sector,2.064242375238112e-4,fomc_stmt,FOMC statements,hawkish,3.596052697200761,3.596052697200761,hous sector___FOMC statements
reserv.board,3.419840797947362,reserv board,-0.01720179472833031,fomc_stmt,FOMC statements,dovish,-3.419840797947362,3.419840797947362,reserv board___FOMC statements
polici.firm,3.247650536677512,polici firm,0.00783531573720982,fomc_stmt,FOMC statements,hawkish,3.247650536677512,3.247650536677512,polici firm___FOMC statements
downsid.risk,11.645737486401895,downsid risk,-0.00795145854085567,fomc_pc,FOMC press conferences,dovish,-11.645737486401895,11.645737486401895,downsid risk___FOMC press conferences
committe.rais,9.348097723732833,committe rais,0.00326948070588658,fomc_pc,FOMC press conferences,hawkish,9.348097723732833,9.348097723732833,committe rais___FOMC press conferences
high.accommod,5.6559625531705695,high accommod,2.582427582809841e-4,fomc_pc,FOMC press conferences,hawkish,5.6559625531705695,5.6559625531705695,high accommod___FOMC press conferences
half.centuri,5.649634696482351,half centuri,-0.00555195635964621,fomc_pc,FOMC press conferences,dovish,-5.649634696482351,5.649634696482351,half centuri___FOMC press conferences
rate.unchang,4.2835303293676565,rate unchang,0,fomc_pc,FOMC press conferences,hawkish,4.2835303293676565,4.2835303293676565,rate unchang___FOMC press conferences
month.chang,3.906331228083995,month chang,0.00247307285234503,fomc_pc,FOMC press conferences,hawkish,3.906331228083995,3.906331228083995,month chang___FOMC press conferences
modest.increas,3.4357261827364907,modest increas,0.00267686862903379,fomc_pc,FOMC press conferences,hawkish,3.4357261827364907,3.4357261827364907,modest increas___FOMC press conferences
neutral.level,3.134863134285061,neutral level,0.00332138543162416,fomc_pc,FOMC press conferences,hawkish,3.134863134285061,3.134863134285061,neutral level___FOMC press conferences
tighten.abrupt,1.5335194173630646,tighten abrupt,0.00154944122805161,fomc_pc,FOMC press conferences,hawkish,1.5335194173630646,1.5335194173630646,tighten abrupt___FOMC press conferences
consum.face,0.7107842526860608,consum face,-0.00254010867881909,fomc_pc,FOMC press conferences,dovish,-0.7107842526860608,0.7107842526860608,consum face___FOMC press conferences
downward.slide,0.6118973585681308,downward slide,-0.00276160898749111,fomc_pc,FOMC press conferences,dovish,-0.6118973585681308,0.6118973585681308,downward slide___FOMC press conferences
remain.unchang,45.15430021563334,remain unchang,-1.4102062375087295e-4,ecb_stmt,ECB statements,dovish,-45.15430021563334,45.15430021563334,remain unchang___ECB statements
govern.council,22.307217768672704,govern council,-5.020483025871981e-4,ecb_stmt,ECB statements,dovish,-22.307217768672704,22.307217768672704,govern council___ECB statements
facil.rate,5.6091646336076755,facil rate,-0.03547904429389336,ecb_stmt,ECB statements,dovish,-5.6091646336076755,5.6091646336076755,facil rate___ECB statements
under.price,4.553796712597279,under price,0.00625706829051514,ecb_stmt,ECB statements,hawkish,4.553796712597279,4.553796712597279,under price___ECB statements
