corpus,outcome,n,adj_dict,adj_rf,adj_bert,adj_all,corpus_long,method_raw,r2,method
FOMC stmt,SP500,225,0.0589,0.0586,0.0593,0.0537,FOMC statements,r2_dict,0.0673,Dictionary
FOMC stmt,SP500,225,0.0589,0.0586,0.0593,0.0537,FOMC statements,r2_rf,0.067,Random Forest
FOMC stmt,SP500,225,0.0589,0.0586,0.0593,0.0537,FOMC statements,r2_bert,0.0677,RoBERTa/BERT
FOMC stmt,SP500,225,0.0589,0.0586,0.0593,0.0537,FOMC statements,r2_all,0.0706,All
FOMC stmt,UST2Y,234,0.2342,0.2445,0.2456,0.249,FOMC statements,r2_dict,0.2408,Dictionary
FOMC stmt,UST2Y,234,0.2342,0.2445,0.2456,0.249,FOMC statements,r2_rf,0.251,Random Forest
FOMC stmt,UST2Y,234,0.2342,0.2445,0.2456,0.249,FOMC statements,r2_bert,0.2521,RoBERTa/BERT
FOMC stmt,UST2Y,234,0.2342,0.2445,0.2456,0.249,FOMC statements,r2_all,0.2619,All
FOMC stmt,UST10Y,234,0.0361,0.0387,0.0412,0.0375,FOMC statements,r2_dict,0.0444,Dictionary
FOMC stmt,UST10Y,234,0.0361,0.0387,0.0412,0.0375,FOMC statements,r2_rf,0.047,Random Forest
FOMC stmt,UST10Y,234,0.0361,0.0387,0.0412,0.0375,FOMC statements,r2_bert,0.0495,RoBERTa/BERT
FOMC stmt,UST10Y,234,0.0361,0.0387,0.0412,0.0375,FOMC statements,r2_all,0.0541,All
FOMC stmt,EURUSD,223,0.047,0.0459,0.046,0.0428,FOMC statements,r2_dict,0.0556,Dictionary
FOMC stmt,EURUSD,223,0.047,0.0459,0.046,0.0428,FOMC statements,r2_rf,0.0545,Random Forest
FOMC stmt,EURUSD,223,0.047,0.0459,0.046,0.0428,FOMC statements,r2_bert,0.0546,RoBERTa/BERT
FOMC stmt,EURUSD,223,0.047,0.0459,0.046,0.0428,FOMC statements,r2_all,0.06,All
ECB stmt,SX5E,252,0.1734,0.202,0.1715,0.2016,ECB statements,r2_dict,0.18,Dictionary
ECB stmt,SX5E,252,0.1734,0.202,0.1715,0.2016,ECB statements,r2_rf,0.2084,Random Forest
ECB stmt,SX5E,252,0.1734,0.202,0.1715,0.2016,ECB statements,r2_bert,0.1781,RoBERTa/BERT
ECB stmt,SX5E,252,0.1734,0.202,0.1715,0.2016,ECB statements,r2_all,0.2143,All
ECB stmt,OIS MP2,243,0.2005,0.2015,0.2179,0.2123,ECB statements,r2_dict,0.2071,Dictionary
ECB stmt,OIS MP2,243,0.2005,0.2015,0.2179,0.2123,ECB statements,r2_rf,0.2081,Random Forest
ECB stmt,OIS MP2,243,0.2005,0.2015,0.2179,0.2123,ECB statements,r2_bert,0.2243,RoBERTa/BERT
ECB stmt,OIS MP2,243,0.2005,0.2015,0.2179,0.2123,ECB statements,r2_all,0.2253,All
ECB stmt,OIS 10Y,113,-0.0021,-0.0044,-0.0018,-0.0169,ECB statements,r2_dict,0.0158,Dictionary
ECB stmt,OIS 10Y,113,-0.0021,-0.0044,-0.0018,-0.0169,ECB statements,r2_rf,0.0135,Random Forest
ECB stmt,OIS 10Y,113,-0.0021,-0.0044,-0.0018,-0.0169,ECB statements,r2_bert,0.0161,RoBERTa/BERT
ECB stmt,OIS 10Y,113,-0.0021,-0.0044,-0.0018,-0.0169,ECB statements,r2_all,0.0194,All
ECB stmt,EURUSD,252,-0.0042,-0.0062,-0.0064,-0.0101,ECB statements,r2_dict,0.0038,Dictionary
ECB stmt,EURUSD,252,-0.0042,-0.0062,-0.0064,-0.0101,ECB statements,r2_rf,0.0018,Random Forest
ECB stmt,EURUSD,252,-0.0042,-0.0062,-0.0064,-0.0101,ECB statements,r2_bert,0.0017,RoBERTa/BERT
ECB stmt,EURUSD,252,-0.0042,-0.0062,-0.0064,-0.0101,ECB statements,r2_all,0.006,All
