method,corpus_long,target,target_clean,pred_col,control_col,n,r2_base,r2_full,incremental_r2,pred_estimate,pred_se,pred_pvalue
Random Forest,FOMC statements,bps_next,Rate t+1,rf_pred_bps_next_full,bps_curr,204,0.48223328137502064,0.5262192185202723,0.043985937145251675,0.4067973136127925,0.14430579590093134,0.005299290558473622
RoBERTa/BERT,FOMC statements,bps_next,Rate t+1,bert_pred_bps_next_full,bps_curr,203,0.47127150325687084,0.4829123713894965,0.011640868132625659,0.4343269569298288,0.2554437133923305,0.09063189751557796
Random Forest,FOMC statements,bps_next2,Rate t+2,rf_pred_bps_next2_full,bps_curr,203,0.336028931246379,0.34947488119157727,0.013445949945198266,0.2399520060246409,0.14777007712172124,0.10598924789332444
RoBERTa/BERT,FOMC statements,bps_next2,Rate t+2,bert_pred_bps_next2_full,bps_curr,202,0.31232153819800845,0.32259504258371297,0.010273504385704513,0.4584136242160607,0.2783186431461432,0.10111936475356713
Random Forest,FOMC statements,y2_next,2Y yield t+1,rf_pred_y2_next_full,y2_curr,204,5.33571575425179e-4,0.028254738930238624,0.027721167354813444,-0.4417063365323411,0.20431362731995362,0.03180721621393736
RoBERTa/BERT,FOMC statements,y2_next,2Y yield t+1,bert_pred_y2_next_full,y2_curr,203,4.539527948128099e-4,0.017848752149467805,0.017394799354654995,0.3047928444880978,0.17280917489961783,0.07930026235793358
Random Forest,FOMC statements,y2_next2,2Y yield t+2,rf_pred_y2_next2_full,y2_curr,203,7.387883849366457e-4,0.013849286781610815,0.01311049839667417,0.2220372602946272,0.19156544254872254,0.24781070332985888
RoBERTa/BERT,FOMC statements,y2_next2,2Y yield t+2,bert_pred_y2_next2_full,y2_curr,202,8.408855614092445e-4,0.012624364079568327,0.011783478518159082,0.3428883501204065,0.23404413357567352,0.14448306713514122
Random Forest,FOMC press conferences,bps_next,Rate t+1,rf_pred_bps_next_full,bps_curr,53,0.5470879422069894,0.5484166895786713,0.001328747371681871,0.083267300810402,0.2134738722076264,0.6981500219961444
RoBERTa/BERT,FOMC press conferences,bps_next,Rate t+1,bert_pred_bps_next_full,bps_curr,60,0.5330741062232753,0.6382700395033554,0.10519593328008003,-1.3554759957535125,0.46930271345583113,0.005466739389796418
Random Forest,FOMC press conferences,bps_next2,Rate t+2,rf_pred_bps_next2_full,bps_curr,59,0.29328783695737337,0.30535343498739254,0.012065598030019165,0.3447215071432443,0.4159312473614479,0.4107393924300853
RoBERTa/BERT,FOMC press conferences,bps_next2,Rate t+2,bert_pred_bps_next2_full,bps_curr,59,0.29328783695737337,0.35759381991742817,0.0643059829600548,-1.6582649193870134,0.6872403868486753,0.019123115981049498
Random Forest,FOMC press conferences,y2_next,2Y yield t+1,rf_pred_y2_next_full,y2_curr,60,0.00818410497771343,0.03543076063995399,0.027246655662240563,-0.5622856400071332,0.4107283062790361,0.17637111014746537
RoBERTa/BERT,FOMC press conferences,y2_next,2Y yield t+1,bert_pred_y2_next_full,y2_curr,60,0.00818410497771343,0.015788838099427386,0.0076047331217139556,-0.6441549728911002,0.7474891071205296,0.39243145954299063
Random Forest,FOMC press conferences,y2_next2,2Y yield t+2,rf_pred_y2_next2_full,y2_curr,59,8.190348592511489e-4,0.004711820152575817,0.0038927852933246677,-0.2258322020748722,0.4114184307440635,0.5852484420573116
RoBERTa/BERT,FOMC press conferences,y2_next2,2Y yield t+2,bert_pred_y2_next2_full,y2_curr,59,8.190348592511489e-4,0.007673553864142072,0.006854519004890923,-0.6034357354951547,1.0417077583907361,0.5647263907944567
Random Forest,ECB statements,bps_next,Rate t+1,rf_pred_bps_next_full,bps_curr,245,0.31242135131689447,0.3252513400801933,0.012829988763298827,0.2760752464351785,0.13629576261128779,0.04390749396705075
RoBERTa/BERT,ECB statements,bps_next,Rate t+1,bert_pred_bps_next_full,bps_curr,245,0.31242135131689447,0.3232722368336103,0.010850885516715814,0.5732169283684679,0.4486573300850363,0.20260507875269296
Random Forest,ECB statements,bps_next2,Rate t+2,rf_pred_bps_next2_full,bps_curr,244,0.2718099701044556,0.2778163753893179,0.006006405284862293,0.21156484230512163,0.2133876667071966,0.32245653181874445
RoBERTa/BERT,ECB statements,bps_next2,Rate t+2,bert_pred_bps_next2_full,bps_curr,244,0.2718099701044556,0.2762638201997555,0.0044538500952998605,0.33289905135119163,0.3518008269401485,0.3449579816897659
Random Forest,ECB statements,y2_next,2Y yield t+1,rf_pred_y2_next_full,y2_curr,208,0.04187009637683914,0.04714919647103273,0.005279100094193592,0.22985662548768263,0.40396900068635994,0.5699819139680291
RoBERTa/BERT,ECB statements,y2_next,2Y yield t+1,bert_pred_y2_next_full,y2_curr,204,0.044536598737592865,0.11555885824716318,0.0710222595095703,-2.802386771203166,1.4131446149972655,0.048719520023287145
Random Forest,ECB statements,y2_next2,2Y yield t+2,rf_pred_y2_next2_full,y2_curr,209,0.005682921881018509,0.012449127036932302,0.006766205155913793,-0.26994585579786545,0.45344258529242076,0.5522794590617228
RoBERTa/BERT,ECB statements,y2_next2,2Y yield t+2,bert_pred_y2_next2_full,y2_curr,204,0.005163045318370602,0.009844824836453487,0.004681779518082884,0.28734138484514227,0.3298730240029131,0.38475695202700055
Random Forest,ECB press conferences,bps_next,Rate t+1,rf_pred_bps_next_full,bps_curr,220,0.3492994545518812,0.35139995873641355,0.002100504184532337,0.0955365837483689,0.113445052929594,0.400636921447705
RoBERTa/BERT,ECB press conferences,bps_next,Rate t+1,bert_pred_bps_next_full,bps_curr,220,0.3492994545518812,0.3978126715004086,0.04851321694852739,0.6138040866421535,0.19467650662901734,0.0018449024621256594
Random Forest,ECB press conferences,bps_next2,Rate t+2,rf_pred_bps_next2_full,bps_curr,220,0.2840838133686703,0.28659019308180594,0.0025063797131356647,0.10427583000060563,0.11243078844897202,0.35471461040847685
RoBERTa/BERT,ECB press conferences,bps_next2,Rate t+2,bert_pred_bps_next2_full,bps_curr,220,0.2840838133686703,0.31177410696400243,0.02769029359533215,0.5366894934126197,0.18582982100079176,0.00426862359517786
Random Forest,ECB press conferences,y2_next,2Y yield t+1,rf_pred_y2_next_full,y2_curr,189,0.04608136336576087,0.052912186316930794,0.006830822951169921,-0.27987638883586863,0.44231999556252344,0.5276763754456261
RoBERTa/BERT,ECB press conferences,y2_next,2Y yield t+1,bert_pred_y2_next_full,y2_curr,188,0.04607896295070897,0.12421099434214843,0.07813203139143945,-4.073141247051181,2.5314681426013217,0.10932068801519179
Random Forest,ECB press conferences,y2_next2,2Y yield t+2,rf_pred_y2_next2_full,y2_curr,188,0.00405864594784323,0.007333217516921883,0.0032745715690786536,0.24839885136710224,0.4857668289180475,0.6097129059637822
RoBERTa/BERT,ECB press conferences,y2_next2,2Y yield t+2,bert_pred_y2_next2_full,y2_curr,186,0.004058220297435661,0.042560728281869055,0.038502507984433394,-1.0826051071147935,0.4712963589013096,0.022746343574548154
