corpus,outcome,n_min,n_max,any_p_lt_10,any_p_lt_05,best_method_by_p,best_p,best_coef,best_r2
ECB press conferences,SX5E,231,243,TRUE,TRUE,RoBERTa/BERT,0.016000444149814472,0.4553504679747211,0.022128776206152317
ECB press conferences,SX7E,231,243,TRUE,TRUE,RoBERTa/BERT,0.032589544875331874,0.6707073267423307,0.01635124552265359
ECB press conferences,EURUSD,231,243,TRUE,FALSE,Random Forest,0.053374413852365854,-0.15933015942071446,0.041223509469899215
ECB press conferences,DE2Y,231,243,FALSE,FALSE,RoBERTa/BERT,0.10014119616329706,2.3181161977572633,0.06492768280982839
ECB press conferences,IT10Y_spread,215,220,FALSE,FALSE,RoBERTa/BERT,0.13011831569624788,-2.7840014224291463,0.010575283757730024
ECB press conferences,OIS_MP2,224,235,FALSE,FALSE,RoBERTa/BERT,0.18125152126656044,1.7724071885242152,0.07452023095753693
ECB press conferences,OIS_10Y,105,105,FALSE,FALSE,Random Forest,0.25433543066395375,-1.539282315371363,0.042784872348281586
ECB press conferences,DE10Y,231,243,FALSE,FALSE,Dictionary,0.3279540079381206,-0.5830383506512195,0.009185043827808428
ECB press conferences,OIS_5Y,104,104,FALSE,FALSE,Random Forest,0.41673186842972876,-1.3850547248335494,0.1086365700720895
ECB statements,SX7E,252,253,TRUE,TRUE,Random Forest,0.025742764901530345,0.7474394966934481,0.1020538271502252
ECB statements,SX5E,252,253,TRUE,TRUE,Random Forest,0.0289846270375924,0.3712668827861224,0.20839106855482342
ECB statements,DE2Y,252,253,TRUE,FALSE,RoBERTa/BERT,0.07271330440711295,-4.1992195651602735,0.1379257996599455
ECB statements,OIS_MP2,243,244,FALSE,FALSE,RoBERTa/BERT,0.10636886807537249,-3.778397774495646,0.2275388429495149
ECB statements,DE10Y,252,253,FALSE,FALSE,RoBERTa/BERT,0.19067988920602075,-2.5418434695702867,0.05155397173209887
ECB statements,OIS_5Y,112,112,FALSE,FALSE,RoBERTa/BERT,0.22706949799310408,-3.134022956747374,0.032297080394604806
ECB statements,IT10Y_spread,232,233,FALSE,FALSE,Dictionary,0.27886238740560343,1.3950469553517755,0.019542693294641023
ECB statements,OIS_10Y,113,113,FALSE,FALSE,Dictionary,0.39076100036819916,-0.6497242597012072,0.01584009337960171
ECB statements,EURUSD,252,253,FALSE,FALSE,Dictionary,0.42310067777056815,0.05970821815199473,0.00438503123047591
FOMC press conferences,TIPS10Y,91,91,TRUE,TRUE,Random Forest,0.002638910010702273,-0.03351776085736553,0.08858003434748951
FOMC press conferences,TIPS5Y,91,91,TRUE,TRUE,Random Forest,0.0033197680146849974,-0.04830983556704767,0.11275893321900683
FOMC press conferences,UST2Y,91,91,TRUE,TRUE,Random Forest,0.003809722193890494,-0.03954533585170069,0.127421014588045
FOMC press conferences,UST5Y,91,91,TRUE,TRUE,Random Forest,0.01099495833290925,-0.03157752866194354,0.054855566967285024
FOMC press conferences,EURUSD,91,91,TRUE,TRUE,Random Forest,0.02710901441215656,0.20180881712827872,0.07965971113837969
FOMC press conferences,DXY,91,91,TRUE,TRUE,Random Forest,0.030002126552739785,-0.19445181207482803,0.07998085659014234
FOMC press conferences,UST10Y,91,91,TRUE,TRUE,Random Forest,0.03913602375240571,-0.019570264676259434,0.035122853511845055
FOMC press conferences,UST30Y,91,91,TRUE,FALSE,Random Forest,0.0874210780616028,-0.009250235480269679,0.04451004500434003
FOMC press conferences,SP500,91,91,FALSE,FALSE,Dictionary,0.17336894815712764,0.5918416565421272,0.04561210809763735
FOMC statements,UST5Y,235,242,TRUE,TRUE,RoBERTa/BERT,0.020214402520735444,0.038542690084613355,0.13754658126132135
FOMC statements,UST2Y,235,242,TRUE,TRUE,RoBERTa/BERT,0.020673290267090975,0.03756243633376862,0.2624528709005364
FOMC statements,UST10Y,235,242,FALSE,FALSE,RoBERTa/BERT,0.10536180801660965,0.02089351994909936,0.055121269065981165
FOMC statements,TIPS5Y,172,176,FALSE,FALSE,RoBERTa/BERT,0.19199720065971335,0.029264163520487507,0.09537180090049123
FOMC statements,TIPS10Y,172,176,FALSE,FALSE,Random Forest,0.20781859002831135,0.008269885448983359,0.02041349736197635
FOMC statements,UST30Y,235,242,FALSE,FALSE,RoBERTa/BERT,0.5093959443823443,0.007116428707944944,0.0015504627778669805
FOMC statements,SP500,226,232,FALSE,FALSE,RoBERTa/BERT,0.5155305910556433,-0.11514702577625484,0.06306395965521173
FOMC statements,DXY,235,242,FALSE,FALSE,Dictionary,0.5645232867359058,-0.05355580812758797,0.09644312308405788
FOMC statements,EURUSD,224,230,FALSE,FALSE,Dictionary,0.5703466377049978,0.05712415707086157,0.06115324565965567
