corpus,outcome,score,method,control,n,coef,se,t,p,stars,coef_print,se_print,r2,adj_r2,status,missing
ECB press conferences,EURUSD,net_score,Dictionary,OIS_MP1,243,0.012368372190795607,0.07681611081176937,0.16101273626183882,0.8722188208682997,,0.0124,(0.0768),0.016583024149893637,0.0083878826844761,ok,NA
ECB press conferences,EURUSD,rf_score,Random Forest,OIS_MP1,231,-0.15933015942071446,0.08204627834173919,-1.9419547436030238,0.053374413852365854,*,-0.1593*,(0.0820),0.041223509469899215,0.03281318937752986,ok,NA
ECB press conferences,EURUSD,bert_score,RoBERTa/BERT,OIS_MP1,243,-0.03540664327333038,0.1350726258855182,-0.26213041348096355,0.7934457467532089,,-0.0354,(0.1351),0.016726758213229716,0.008532814531673316,ok,NA
ECB press conferences,OIS_10Y,net_score,Dictionary,OIS_MP1,105,-0.6996533163543085,1.2421878269561453,-0.563242773090715,0.5745056637945449,,-0.6997,(1.2422),0.02332532278690318,0.0041748389199797176,ok,NA
ECB press conferences,OIS_10Y,rf_score,Random Forest,OIS_MP1,105,-1.539282315371363,1.342776470099148,-1.14634293171499,0.25433543066395375,,-1.5393,(1.3428),0.042784872348281586,0.0240159482766793,ok,NA
ECB press conferences,OIS_10Y,bert_score,RoBERTa/BERT,OIS_MP1,105,0.2017246945209532,1.9746303960112013,0.10215820384839701,0.918831666662131,,0.2017,(1.9746),0.018759063841419402,-4.809545146311489e-4,ok,NA
ECB press conferences,OIS_MP2,net_score,Dictionary,OIS_MP1,235,-0.7188429925958899,0.7816168405655135,-0.9196871859564776,0.35869149213628504,,-0.7188,(0.7816),0.07208964752935429,0.06409042035288326,ok,NA
ECB press conferences,OIS_MP2,rf_score,Random Forest,OIS_MP1,224,0.5963044483214032,0.9429563359430356,0.632377582706466,0.5277938756505413,,0.5963,(0.9430),0.08027660292319463,0.07195331426186613,ok,NA
ECB press conferences,OIS_MP2,bert_score,RoBERTa/BERT,OIS_MP1,235,1.7724071885242152,1.3217653292454494,1.3409393856139515,0.18125152126656044,,1.7724,(1.3218),0.07452023095753693,0.06654195708648125,ok,NA
ECB press conferences,SX5E,net_score,Dictionary,OIS_MP1,243,0.17371496371249706,0.11395093486324341,1.5244715975430883,0.12870756850235154,,0.1737,(0.1140),0.012280008431761254,0.004049008502025941,ok,NA
ECB press conferences,SX5E,rf_score,Random Forest,OIS_MP1,231,0.19106730498962285,0.12365275144881321,1.5451925068462087,0.12368654864055387,,0.1911,(0.1237),0.010350636529658548,0.001669501762374792,ok,NA
ECB press conferences,SX5E,bert_score,RoBERTa/BERT,OIS_MP1,243,0.4553504679747211,0.1876889265048095,2.4260912801536687,0.016000444149814472,**,0.4554**,(0.1877),0.022128776206152317,0.013979849341203554,ok,NA
FOMC press conferences,EURUSD,net_score,Dictionary,MP1,91,0.19145452683150113,0.12022763163756134,1.5924336545916553,0.11487319678050137,,0.1915,(0.1202),0.04887858902641316,0.027262193322468042,ok,NA
FOMC press conferences,EURUSD,rf_score,Random Forest,MP1,91,0.20180881712827872,0.08979305811555861,2.2474879613584617,0.02710901441215656,**,0.2018**,(0.0898),0.07965971113837969,0.058742886391524696,ok,NA
FOMC press conferences,EURUSD,bert_score,RoBERTa/BERT,MP1,91,0.45679361815097447,0.24407048095763825,1.8715643791034984,0.06458915921374359,*,0.4568*,(0.2441),0.04649756978024303,0.024827060002521217,ok,NA
FOMC press conferences,UST10Y,net_score,Dictionary,MP1,91,0.0012383877751099097,0.01840295150214803,0.06729288913060291,0.9465011949877061,,0.0012,(0.0184),0.0011688976762559958,-0.021531809194738294,ok,NA
FOMC press conferences,UST10Y,rf_score,Random Forest,MP1,91,-0.019570264676259434,0.00934586827403213,-2.0940017666027027,0.03913602375240571,**,-0.0196**,(0.0093),0.035122853511845055,0.01319382745529607,ok,NA
FOMC press conferences,UST10Y,bert_score,RoBERTa/BERT,MP1,91,-0.051059244428553405,0.02813062053813497,-1.8150770744404836,0.07291873472930391,*,-0.0511*,(0.0281),0.025024956800617823,0.0028664330915408875,ok,NA
FOMC press conferences,UST2Y,net_score,Dictionary,MP1,91,-0.020850326246236298,0.01964226263713651,-1.061503281542309,0.2913658079056288,,-0.0209,(0.0196),0.02949028033281208,0.007433241249466982,ok,NA
FOMC press conferences,UST2Y,rf_score,Random Forest,MP1,91,-0.03954533585170069,0.013303830826390447,-2.9724773539104006,0.003809722193890494,***,-0.0395***,(0.0133),0.127421014588045,0.10758967401050057,ok,NA
FOMC press conferences,UST2Y,bert_score,RoBERTa/BERT,MP1,91,-0.06452079610249947,0.035127429061341156,-1.8367639712496535,0.06962066667592894,*,-0.0645*,(0.0351),0.04147660800554721,0.019691985460218775,ok,NA
