corpus,outcome,n,r2,Dictionary,Random Forest,RoBERTa/BERT
ECB press conferences,EURUSD,243,0.016583024149893637,0.0124 (0.0768),NA,NA
ECB press conferences,EURUSD,231,0.041223509469899215,NA,-0.1593* (0.0820),NA
ECB press conferences,EURUSD,243,0.016726758213229716,NA,NA,-0.0354 (0.1351)
ECB press conferences,OIS_10Y,105,0.02332532278690318,-0.6997 (1.2422),NA,NA
ECB press conferences,OIS_10Y,105,0.042784872348281586,NA,-1.5393 (1.3428),NA
ECB press conferences,OIS_10Y,105,0.018759063841419402,NA,NA,0.2017 (1.9746)
ECB press conferences,OIS_MP2,235,0.07208964752935429,-0.7188 (0.7816),NA,NA
ECB press conferences,OIS_MP2,224,0.08027660292319463,NA,0.5963 (0.9430),NA
ECB press conferences,OIS_MP2,235,0.07452023095753693,NA,NA,1.7724 (1.3218)
ECB press conferences,SX5E,243,0.012280008431761254,0.1737 (0.1140),NA,NA
ECB press conferences,SX5E,231,0.010350636529658548,NA,0.1911 (0.1237),NA
ECB press conferences,SX5E,243,0.022128776206152317,NA,NA,0.4554** (0.1877)
FOMC press conferences,EURUSD,91,0.04887858902641316,0.1915 (0.1202),NA,NA
FOMC press conferences,EURUSD,91,0.07965971113837969,NA,0.2018** (0.0898),NA
FOMC press conferences,EURUSD,91,0.04649756978024303,NA,NA,0.4568* (0.2441)
FOMC press conferences,UST10Y,91,0.0011688976762559958,0.0012 (0.0184),NA,NA
FOMC press conferences,UST10Y,91,0.035122853511845055,NA,-0.0196** (0.0093),NA
FOMC press conferences,UST10Y,91,0.025024956800617823,NA,NA,-0.0511* (0.0281)
FOMC press conferences,UST2Y,91,0.02949028033281208,-0.0209 (0.0196),NA,NA
FOMC press conferences,UST2Y,91,0.127421014588045,NA,-0.0395*** (0.0133),NA
FOMC press conferences,UST2Y,91,0.04147660800554721,NA,NA,-0.0645* (0.0351)
