label,outcome,score_term,fe_spec,estimate,se,pvalue,n,r2,stars,coef_print,se_print,significant_10
ECB PC -> OIS_MP2 [fwd/curr],OIS_MP2,net_score_curr,A,-1.6952142647201385,1.063549492362225,0.11232095943396464,235,0.07758847590697548,,-1.6952,(1.0635),FALSE
ECB PC -> OIS_MP2 [fwd/curr],OIS_MP2,net_score_fwd,A,0.9141451914671987,1.4169982382640682,0.5194844740634109,235,0.07758847590697548,,0.9141,(1.4170),FALSE
ECB PC -> OIS_MP2 [fwd/curr],OIS_MP2,net_score_curr,B,-1.3411266565610536,1.1096583933418602,0.22807074274886885,235,0.08508136918413123,,-1.3411,(1.1097),FALSE
ECB PC -> OIS_MP2 [fwd/curr],OIS_MP2,net_score_fwd,B,0.9775033985136872,1.6985316845090233,0.565521361235851,235,0.08508136918413123,,0.9775,(1.6985),FALSE
ECB PC -> OIS_MP2 [fwd/curr],OIS_MP2,net_score_curr,C,-1.559561347513814,1.131800932751615,0.16958254650732998,235,0.0874444299723981,,-1.5596,(1.1318),FALSE
ECB PC -> OIS_MP2 [fwd/curr],OIS_MP2,net_score_fwd,C,0.5269628140898412,1.995006471182263,0.7919120548077536,235,0.0874444299723981,,0.5270,(1.9950),FALSE
ECB PC -> SX5E [fwd/curr],SX5E,net_score_curr,A,0.11243907639692229,0.17830085962590078,0.5288952574642432,243,0.01201134357627131,,0.1124,(0.1783),FALSE
ECB PC -> SX5E [fwd/curr],SX5E,net_score_fwd,A,0.09754623705714824,0.18590719524481827,0.600275362271911,243,0.01201134357627131,,0.0975,(0.1859),FALSE
ECB PC -> SX5E [fwd/curr],SX5E,net_score_curr,B,0.09733242152764882,0.17488637126155485,0.578364567625212,243,0.01237990697287017,,0.0973,(0.1749),FALSE
ECB PC -> SX5E [fwd/curr],SX5E,net_score_fwd,B,0.08837200429346123,0.23567320727416435,0.708014417892867,243,0.01237990697287017,,0.0884,(0.2357),FALSE
ECB PC -> SX5E [fwd/curr],SX5E,net_score_curr,C,0.10532099120583206,0.18231701932514213,0.5640352733745164,243,0.0130394097410289,,0.1053,(0.1823),FALSE
