label,outcome,score_term,fe_spec,estimate,se,pvalue,n,r2,stars,coef_print,se_print
FOMC PC -> UST10Y [fwd/curr],UST10Y,net_score_fwd,B,-0.07453279247710028,0.03203358610074996,0.02236013612193043,91,0.1150962354645867,**,-0.0745**,(0.0320)
FOMC PC -> UST10Y [fwd/curr],UST10Y,net_score_fwd,C,-0.07495735039006994,0.03243804323881458,0.02329580459205724,91,0.1154056837494586,**,-0.0750**,(0.0324)
ECB Stmt -> SX5E [fwd/curr],SX5E,net_score_curr,B,0.8500594516919785,0.37503302672810257,0.0242820595000234,253,0.22363726368782477,**,0.8501**,(0.3750)
FOMC PC -> UST10Y [fwd/curr],UST10Y,net_score_fwd,A,-0.07290732589034005,0.03180142314953296,0.02428476152081248,91,0.08715256899035917,**,-0.0729**,(0.0318)
FOMC PC -> TIPS10Y [fwd/curr],TIPS10Y,net_score_fwd,A,-0.07236834275706144,0.03212661238642965,0.02680062362975684,91,0.08256264600265084,**,-0.0724**,(0.0321)
ECB Stmt -> SX5E [fwd/curr],SX5E,net_score_curr,C,0.8331602035562881,0.3752255307562896,0.02730909814830742,253,0.23401891497948957,**,0.8332**,(0.3752)
FOMC stmt | UST2Y  rf,UST2Y,rf_score,B,0.01745408970841296,0.00789131804561647,0.02796799961480854,235,0.203542088731277,**,0.0175**,(0.0079)
ECB stmt | SX5E    rf,SX5E,rf_score,A,0.37126688278612263,0.16903320180210124,0.02898462703759225,252,0.2083910685548237,**,0.3713**,(0.1690)
FOMC stmt | UST2Y  rf,UST2Y,rf_score,C,0.01755257677148582,0.00799567278910792,0.02915820917136528,235,0.2039541924018634,**,0.0176**,(0.0080)
FOMC PC -> TIPS10Y [fwd/curr],TIPS10Y,net_score_fwd,B,-0.07428398678849897,0.03347808878467985,0.02915912557522697,91,0.10501189615423034,**,-0.0743**,(0.0335)
FOMC stmt | UST2Y  rf,UST2Y,rf_score,A,0.01659709031868005,0.00763585343575623,0.03074919893652101,235,0.2017838361959552,**,0.0166**,(0.0076)
FOMC PC -> TIPS10Y [fwd/curr],TIPS10Y,net_score_fwd,C,-0.07474064873770221,0.03412676565963339,0.03128978594501468,91,0.1053290664388109,**,-0.0747**,(0.0341)
FOMC PC -> TIPS5Y [fwd/curr],TIPS5Y,net_score_fwd,A,-0.0899218638935638,0.04109984307158809,0.03135863156850858,91,0.08627443215300856,**,-0.0899**,(0.0411)
FOMC PC -> TIPS5Y [fwd/curr],TIPS5Y,net_score_fwd,B,-0.09594125910487808,0.04391173797706989,0.0316511024115339,91,0.1023583771040476,**,-0.0959**,(0.0439)
