corpus,outcome,score,n,coef,se,p,stars,r2
FOMC statements,SP500,net_score,232,-0.09173459580476939,0.1470111118594005,0.5332501963547585,,0.05087904800469755
FOMC statements,SP500,rf_score,226,0.036996064099222466,0.09297015983593405,0.6910589133224263,,0.05366741918866223
FOMC statements,SP500,bert_score,228,-0.11514702577625484,0.17680120023974422,0.5155305910556433,,0.06306395965521173
FOMC statements,EURUSD,net_score,230,0.05712415707086157,0.1005055068903403,0.5703466377049978,,0.06115324565965567
FOMC statements,EURUSD,rf_score,224,-0.005656071385220266,0.04222109823523607,0.8935536256999008,,0.057634692266917344
FOMC statements,EURUSD,bert_score,226,-0.044271945327832,0.10219817016833142,0.6652903390453453,,0.05784248841834334
FOMC statements,DXY,net_score,242,-0.05355580812758797,0.09282741150835488,0.5645232867359058,,0.09644312308405788
FOMC statements,DXY,rf_score,235,0.0026854345615833415,0.038169781714636135,0.9439717229038087,,0.09352170276954876
FOMC statements,DXY,bert_score,237,0.04449688169691425,0.0922968414076073,0.6301811118704725,,0.10398375666245845
FOMC statements,UST2Y,net_score,242,0.010762023571314741,0.014576117815383587,0.4610367158213827,,0.19118125408607317
FOMC statements,UST2Y,rf_score,235,0.016597090318680004,0.007635853435756237,0.03074919893652153,**,0.20178383619595588
FOMC statements,UST2Y,bert_score,237,0.03756243633376862,0.01612322918265033,0.020673290267090975,**,0.2624528709005364
FOMC statements,UST5Y,net_score,242,0.008138013984780468,0.014864448038805675,0.5845586943703378,,0.0751761488818334
FOMC statements,UST5Y,rf_score,235,0.013355106054543625,0.007065123998099058,0.059966152843127785,*,0.08064425191863667
FOMC statements,UST5Y,bert_score,237,0.038542690084613355,0.0164831313673937,0.020214402520735444,**,0.13754658126132135
FOMC statements,UST10Y,net_score,242,0.0026862017879781147,0.01205464843451081,0.8238539793996444,,0.021868710804881435
FOMC statements,UST10Y,rf_score,235,0.007580269387267905,0.005144971231240126,0.1420160217460412,,0.024523915926532393
FOMC statements,UST10Y,bert_score,237,0.02089351994909936,0.012852100655237026,0.10536180801660965,,0.055121269065981165
FOMC statements,UST30Y,net_score,242,-0.002031793395611097,0.009455176964357125,0.830038766669305,,0.0020831730062792673
FOMC statements,UST30Y,rf_score,235,0.0014687678999068508,0.0039548213704834285,0.7106884976206238,,0.0029451726311257843
FOMC statements,UST30Y,bert_score,237,0.007116428707944944,0.010769549749275827,0.5093959443823443,,0.0015504627778669805
FOMC statements,TIPS5Y,net_score,176,-0.0032148725712304992,0.019581467967215965,0.8697816200128142,,0.02998396916612866
FOMC statements,TIPS5Y,rf_score,172,0.009702288775189806,0.009264238220212512,0.29646409465543866,,0.027995970340458275
FOMC statements,TIPS5Y,bert_score,174,0.029264163520487507,0.02234129370562251,0.19199720065971335,,0.09537180090049123
FOMC statements,TIPS10Y,net_score,176,0.0017001974085913117,0.01489283749573165,0.9092416880738037,,0.018247526956187966
FOMC statements,TIPS10Y,rf_score,172,0.008269885448983359,0.006540432674334905,0.20781859002831135,,0.02041349736197635
FOMC statements,TIPS10Y,bert_score,174,0.020134323231475883,0.01603998897674627,0.21109781936168912,,0.04806129295276294
FOMC press conferences,SP500,net_score,91,0.5918416565421272,0.43118701465040704,0.17336894815712764,,0.04561210809763735
FOMC press conferences,SP500,rf_score,91,0.2881108240101317,0.21808420200711148,0.1898932669538,,0.02229149979529918
FOMC press conferences,SP500,bert_score,91,-0.2777744674533435,0.6873212911410348,0.6870898117294009,,0.00944126037025567
FOMC press conferences,EURUSD,net_score,91,0.19145452683150113,0.12022763163756134,0.11487319678050137,,0.04887858902641316
FOMC press conferences,EURUSD,rf_score,91,0.20180881712827872,0.08979305811555861,0.02710901441215656,**,0.07965971113837969
FOMC press conferences,EURUSD,bert_score,91,0.45679361815097447,0.24407048095763825,0.06458915921374359,*,0.04649756978024303
FOMC press conferences,DXY,net_score,91,-0.17941398662707872,0.1171940207059934,0.12937767929020258,,0.047333410568885466
FOMC press conferences,DXY,rf_score,91,-0.19445181207482803,0.08815405600639416,0.030002126552739785,**,0.07998085659014234
FOMC press conferences,DXY,bert_score,91,-0.41340489173974176,0.23917967068917675,0.08741875937176953,*,0.04274518043618959
FOMC press conferences,UST2Y,net_score,91,-0.020850326246236298,0.01964226263713651,0.2913658079056288,,0.02949028033281208
FOMC press conferences,UST2Y,rf_score,91,-0.03954533585170069,0.013303830826390447,0.003809722193890494,***,0.127421014588045
FOMC press conferences,UST2Y,bert_score,91,-0.06452079610249947,0.035127429061341156,0.06962066667592894,*,0.04147660800554721
FOMC press conferences,UST5Y,net_score,91,-0.006715995842465234,0.0231810229288705,0.772712320421042,,0.001966930398851449
FOMC press conferences,UST5Y,rf_score,91,-0.03157752866194354,0.012155065331116596,0.01099495833290925,**,0.054855566967285024
FOMC press conferences,UST5Y,bert_score,91,-0.07078055255432698,0.0357727701486087,0.05098660621691075,*,0.028682752456188954
FOMC press conferences,UST10Y,net_score,91,0.0012383877751099097,0.01840295150214803,0.9465011949877061,,0.0011688976762559958
FOMC press conferences,UST10Y,rf_score,91,-0.019570264676259434,0.00934586827403213,0.03913602375240571,**,0.035122853511845055
FOMC press conferences,UST10Y,bert_score,91,-0.051059244428553405,0.02813062053813497,0.07291873472930391,*,0.025024956800617823
FOMC press conferences,UST30Y,net_score,91,-1.455044783179433e-4,0.00867402601086318,0.9866543006134427,,0.014166965187965072
FOMC press conferences,UST30Y,rf_score,91,-0.009250235480269679,0.005351859158720192,0.0874210780616028,*,0.04451004500434003
FOMC press conferences,UST30Y,bert_score,91,-0.026400375306322707,0.017211416600464113,0.12864487619574727,,0.03970426332695633
FOMC press conferences,TIPS5Y,net_score,91,-0.030859902704718008,0.02425231321266379,0.20656448474350397,,0.029426019947192048
FOMC press conferences,TIPS5Y,rf_score,91,-0.04830983556704767,0.016002966498023102,0.0033197680146849974,***,0.11275893321900683
FOMC press conferences,TIPS5Y,bert_score,91,-0.08671459029572845,0.04508225557349015,0.0576534300766832,*,0.03810708000093911
FOMC press conferences,TIPS10Y,net_score,91,-0.019332890975579203,0.019100752736933096,0.3142396302335038,,0.01853907023002863
FOMC press conferences,TIPS10Y,rf_score,91,-0.03351776085736553,0.010829585883973774,0.002638910010702273,***,0.08858003434748951
FOMC press conferences,TIPS10Y,bert_score,91,-0.07622468714984286,0.03187570547299389,0.01891863096253292,**,0.04739383648683536
ECB statements,SX5E,net_score,253,-0.08172304850522749,0.10877714617190541,0.4531855129768909,,0.17817786767030705
ECB statements,SX5E,rf_score,252,0.3712668827861224,0.1690332018021013,0.0289846270375924,**,0.20839106855482342
ECB statements,SX5E,bert_score,253,-0.04248178184010726,0.3503084487707035,0.9035748743088409,,0.1763750838995777
