label_a,label_b,n,corpus,label_a_name,label_b_name,total,agreement
hawkish,hawkish,36,FOMC stmt,dict,RF,235,0.323
neutral,hawkish,15,FOMC stmt,dict,RF,235,0.323
dovish,hawkish,3,FOMC stmt,dict,RF,235,0.323
hawkish,neutral,45,FOMC stmt,dict,RF,235,0.323
neutral,neutral,10,FOMC stmt,dict,RF,235,0.323
dovish,neutral,78,FOMC stmt,dict,RF,235,0.323
hawkish,dovish,13,FOMC stmt,dict,RF,235,0.323
neutral,dovish,5,FOMC stmt,dict,RF,235,0.323
dovish,dovish,30,FOMC stmt,dict,RF,235,0.323
hawkish,hawkish,48,FOMC stmt,dict,BERT,237,0.688
neutral,hawkish,7,FOMC stmt,dict,BERT,237,0.688
dovish,hawkish,1,FOMC stmt,dict,BERT,237,0.688
hawkish,neutral,17,FOMC stmt,dict,BERT,237,0.688
neutral,neutral,10,FOMC stmt,dict,BERT,237,0.688
dovish,neutral,5,FOMC stmt,dict,BERT,237,0.688
hawkish,dovish,29,FOMC stmt,dict,BERT,237,0.688
neutral,dovish,15,FOMC stmt,dict,BERT,237,0.688
dovish,dovish,105,FOMC stmt,dict,BERT,237,0.688
hawkish,hawkish,31,FOMC stmt,RF,BERT,234,0.376
neutral,hawkish,19,FOMC stmt,RF,BERT,234,0.376
dovish,hawkish,5,FOMC stmt,RF,BERT,234,0.376
hawkish,neutral,13,FOMC stmt,RF,BERT,234,0.376
neutral,neutral,17,FOMC stmt,RF,BERT,234,0.376
dovish,neutral,2,FOMC stmt,RF,BERT,234,0.376
hawkish,dovish,10,FOMC stmt,RF,BERT,234,0.376
neutral,dovish,97,FOMC stmt,RF,BERT,234,0.376
dovish,dovish,40,FOMC stmt,RF,BERT,234,0.376
hawkish,hawkish,39,FOMC stmt,dict,rate,238,0.345
neutral,hawkish,11,FOMC stmt,dict,rate,238,0.345
dovish,hawkish,1,FOMC stmt,dict,rate,238,0.345
hawkish,neutral,48,FOMC stmt,dict,rate,238,0.345
neutral,neutral,16,FOMC stmt,dict,rate,238,0.345
dovish,neutral,83,FOMC stmt,dict,rate,238,0.345
hawkish,dovish,7,FOMC stmt,dict,rate,238,0.345
neutral,dovish,6,FOMC stmt,dict,rate,238,0.345
dovish,dovish,27,FOMC stmt,dict,rate,238,0.345
hawkish,hawkish,40,FOMC stmt,RF,rate,235,0.843
neutral,hawkish,7,FOMC stmt,RF,rate,235,0.843
dovish,hawkish,4,FOMC stmt,RF,rate,235,0.843
hawkish,neutral,12,FOMC stmt,RF,rate,235,0.843
neutral,neutral,123,FOMC stmt,RF,rate,235,0.843
dovish,neutral,9,FOMC stmt,RF,rate,235,0.843
hawkish,dovish,2,FOMC stmt,RF,rate,235,0.843
neutral,dovish,3,FOMC stmt,RF,rate,235,0.843
dovish,dovish,35,FOMC stmt,RF,rate,235,0.843
hawkish,hawkish,37,FOMC stmt,BERT,rate,234,0.389
neutral,hawkish,9,FOMC stmt,BERT,rate,234,0.389
dovish,hawkish,5,FOMC stmt,BERT,rate,234,0.389
hawkish,neutral,18,FOMC stmt,BERT,rate,234,0.389
neutral,neutral,19,FOMC stmt,BERT,rate,234,0.389
dovish,neutral,107,FOMC stmt,BERT,rate,234,0.389
hawkish,dovish,0,FOMC stmt,BERT,rate,234,0.389
neutral,dovish,4,FOMC stmt,BERT,rate,234,0.389
dovish,dovish,35,FOMC stmt,BERT,rate,234,0.389
hawkish,hawkish,21,FOMC stmt,dict,MP1surprise,242,0.277
neutral,hawkish,6,FOMC stmt,dict,MP1surprise,242,0.277
dovish,hawkish,24,FOMC stmt,dict,MP1surprise,242,0.277
hawkish,neutral,53,FOMC stmt,dict,MP1surprise,242,0.277
neutral,neutral,18,FOMC stmt,dict,MP1surprise,242,0.277
dovish,neutral,60,FOMC stmt,dict,MP1surprise,242,0.277
hawkish,dovish,20,FOMC stmt,dict,MP1surprise,242,0.277
neutral,dovish,12,FOMC stmt,dict,MP1surprise,242,0.277
dovish,dovish,28,FOMC stmt,dict,MP1surprise,242,0.277
hawkish,hawkish,15,FOMC stmt,RF,MP1surprise,235,0.557
neutral,hawkish,16,FOMC stmt,RF,MP1surprise,235,0.557
dovish,hawkish,19,FOMC stmt,RF,MP1surprise,235,0.557
hawkish,neutral,26,FOMC stmt,RF,MP1surprise,235,0.557
neutral,neutral,94,FOMC stmt,RF,MP1surprise,235,0.557
dovish,neutral,7,FOMC stmt,RF,MP1surprise,235,0.557
hawkish,dovish,13,FOMC stmt,RF,MP1surprise,235,0.557
neutral,dovish,23,FOMC stmt,RF,MP1surprise,235,0.557
dovish,dovish,22,FOMC stmt,RF,MP1surprise,235,0.557
hawkish,hawkish,16,FOMC stmt,BERT,MP1surprise,237,0.316
neutral,hawkish,6,FOMC stmt,BERT,MP1surprise,237,0.316
dovish,hawkish,29,FOMC stmt,BERT,MP1surprise,237,0.316
hawkish,neutral,26,FOMC stmt,BERT,MP1surprise,237,0.316
neutral,neutral,20,FOMC stmt,BERT,MP1surprise,237,0.316
dovish,neutral,81,FOMC stmt,BERT,MP1surprise,237,0.316
hawkish,dovish,14,FOMC stmt,BERT,MP1surprise,237,0.316
neutral,dovish,6,FOMC stmt,BERT,MP1surprise,237,0.316
dovish,dovish,39,FOMC stmt,BERT,MP1surprise,237,0.316
hawkish,hawkish,18,FOMC PC,dict,RF,91,0.308
neutral,hawkish,2,FOMC PC,dict,RF,91,0.308
dovish,hawkish,0,FOMC PC,dict,RF,91,0.308
hawkish,neutral,25,FOMC PC,dict,RF,91,0.308
neutral,neutral,4,FOMC PC,dict,RF,91,0.308
dovish,neutral,30,FOMC PC,dict,RF,91,0.308
hawkish,dovish,5,FOMC PC,dict,RF,91,0.308
neutral,dovish,1,FOMC PC,dict,RF,91,0.308
dovish,dovish,6,FOMC PC,dict,RF,91,0.308
hawkish,hawkish,1,FOMC PC,dict,BERT,91,0.396
neutral,hawkish,0,FOMC PC,dict,BERT,91,0.396
dovish,hawkish,0,FOMC PC,dict,BERT,91,0.396
hawkish,neutral,8,FOMC PC,dict,BERT,91,0.396
neutral,neutral,0,FOMC PC,dict,BERT,91,0.396
dovish,neutral,1,FOMC PC,dict,BERT,91,0.396
hawkish,dovish,39,FOMC PC,dict,BERT,91,0.396
neutral,dovish,7,FOMC PC,dict,BERT,91,0.396
dovish,dovish,35,FOMC PC,dict,BERT,91,0.396
hawkish,hawkish,1,FOMC PC,RF,BERT,91,0.154
neutral,hawkish,0,FOMC PC,RF,BERT,91,0.154
dovish,hawkish,0,FOMC PC,RF,BERT,91,0.154
hawkish,neutral,6,FOMC PC,RF,BERT,91,0.154
neutral,neutral,2,FOMC PC,RF,BERT,91,0.154
dovish,neutral,1,FOMC PC,RF,BERT,91,0.154
hawkish,dovish,13,FOMC PC,RF,BERT,91,0.154
neutral,dovish,57,FOMC PC,RF,BERT,91,0.154
dovish,dovish,11,FOMC PC,RF,BERT,91,0.154
hawkish,hawkish,19,FOMC PC,dict,rate,92,0.337
neutral,hawkish,1,FOMC PC,dict,rate,92,0.337
dovish,hawkish,0,FOMC PC,dict,rate,92,0.337
hawkish,neutral,25,FOMC PC,dict,rate,92,0.337
neutral,neutral,6,FOMC PC,dict,rate,92,0.337
dovish,neutral,30,FOMC PC,dict,rate,92,0.337
hawkish,dovish,4,FOMC PC,dict,rate,92,0.337
neutral,dovish,1,FOMC PC,dict,rate,92,0.337
dovish,dovish,6,FOMC PC,dict,rate,92,0.337
hawkish,hawkish,19,FOMC PC,RF,rate,91,0.945
neutral,hawkish,1,FOMC PC,RF,rate,91,0.945
dovish,hawkish,0,FOMC PC,RF,rate,91,0.945
hawkish,neutral,1,FOMC PC,RF,rate,91,0.945
neutral,neutral,57,FOMC PC,RF,rate,91,0.945
dovish,neutral,2,FOMC PC,RF,rate,91,0.945
hawkish,dovish,0,FOMC PC,RF,rate,91,0.945
neutral,dovish,1,FOMC PC,RF,rate,91,0.945
dovish,dovish,10,FOMC PC,RF,rate,91,0.945
hawkish,hawkish,1,FOMC PC,BERT,rate,91,0.143
neutral,hawkish,6,FOMC PC,BERT,rate,91,0.143
dovish,hawkish,13,FOMC PC,BERT,rate,91,0.143
hawkish,neutral,0,FOMC PC,BERT,rate,91,0.143
neutral,neutral,2,FOMC PC,BERT,rate,91,0.143
dovish,neutral,58,FOMC PC,BERT,rate,91,0.143
hawkish,dovish,0,FOMC PC,BERT,rate,91,0.143
neutral,dovish,1,FOMC PC,BERT,rate,91,0.143
dovish,dovish,10,FOMC PC,BERT,rate,91,0.143
hawkish,hawkish,2,FOMC PC,dict,MP1surprise,91,0.132
neutral,hawkish,1,FOMC PC,dict,MP1surprise,91,0.132
dovish,hawkish,8,FOMC PC,dict,MP1surprise,91,0.132
hawkish,neutral,42,FOMC PC,dict,MP1surprise,91,0.132
neutral,neutral,4,FOMC PC,dict,MP1surprise,91,0.132
dovish,neutral,22,FOMC PC,dict,MP1surprise,91,0.132
hawkish,dovish,4,FOMC PC,dict,MP1surprise,91,0.132
neutral,dovish,2,FOMC PC,dict,MP1surprise,91,0.132
dovish,dovish,6,FOMC PC,dict,MP1surprise,91,0.132
hawkish,hawkish,2,FOMC PC,RF,MP1surprise,91,0.538
neutral,hawkish,7,FOMC PC,RF,MP1surprise,91,0.538
dovish,hawkish,2,FOMC PC,RF,MP1surprise,91,0.538
hawkish,neutral,17,FOMC PC,RF,MP1surprise,91,0.538
neutral,neutral,44,FOMC PC,RF,MP1surprise,91,0.538
dovish,neutral,7,FOMC PC,RF,MP1surprise,91,0.538
hawkish,dovish,1,FOMC PC,RF,MP1surprise,91,0.538
neutral,dovish,8,FOMC PC,RF,MP1surprise,91,0.538
dovish,dovish,3,FOMC PC,RF,MP1surprise,91,0.538
