corpus,label_a_name,label_b_name,total,agreement
ECB PC,BERT,MP1surprise,243,0.3
ECB PC,BERT,rate,250,0.3
ECB PC,RF,BERT,250,0.296
ECB PC,RF,MP1surprise,231,0.485
ECB PC,RF,rate,250,0.896
ECB PC,dict,BERT,266,0.511
ECB PC,dict,MP1surprise,243,0.284
ECB PC,dict,RF,250,0.192
ECB PC,dict,rate,250,0.204
ECB stmt,BERT,MP1surprise,253,0.395
ECB stmt,BERT,rate,276,0.67
ECB stmt,RF,BERT,275,0.633
ECB stmt,RF,MP1surprise,252,0.52
ECB stmt,RF,rate,275,0.887
ECB stmt,dict,BERT,276,0.855
ECB stmt,dict,MP1surprise,253,0.352
ECB stmt,dict,RF,275,0.578
ECB stmt,dict,rate,284,0.63
FOMC PC,BERT,MP1surprise,91,0.209
FOMC PC,BERT,rate,91,0.143
FOMC PC,RF,BERT,91,0.154
FOMC PC,RF,MP1surprise,91,0.538
FOMC PC,RF,rate,91,0.945
FOMC PC,dict,BERT,91,0.396
FOMC PC,dict,MP1surprise,91,0.132
FOMC PC,dict,RF,91,0.308
FOMC PC,dict,rate,92,0.337
FOMC stmt,BERT,MP1surprise,237,0.316
FOMC stmt,BERT,rate,234,0.389
FOMC stmt,RF,BERT,234,0.376
FOMC stmt,RF,MP1surprise,235,0.557
FOMC stmt,RF,rate,235,0.843
FOMC stmt,dict,BERT,237,0.688
FOMC stmt,dict,MP1surprise,242,0.277
FOMC stmt,dict,RF,235,0.323
FOMC stmt,dict,rate,238,0.345
