label,outcome,score_term,fe_spec,estimate,se,pvalue,n,r2
FOMC Stmt -> SP500 [net],SP500,net_score,A,-0.09173459580476981,0.14701111185940047,0.5332501963547565,232,0.050879048004698224
FOMC Stmt -> SP500 [net],SP500,net_score,B,-0.01145813092985043,0.18831857045846873,0.95153689894956,232,0.057724586729929306
FOMC Stmt -> SP500 [net],SP500,net_score,C,0.06046874202656656,0.1846582376408577,0.7436235489693824,232,0.06182656457384694
FOMC Stmt -> EURUSD [net],EURUSD,net_score,A,0.05712415707086159,0.1005055068903403,0.5703466377049979,230,0.061153245659655964
FOMC Stmt -> EURUSD [net],EURUSD,net_score,B,0.05049638413579697,0.10659092580597182,0.6361467323372288,230,0.0675908012962001
FOMC Stmt -> EURUSD [net],EURUSD,net_score,C,0.09371892262964698,0.12126675787724221,0.4404434077992382,230,0.07373549153009884
FOMC Stmt -> DXY [net],DXY,net_score,A,-0.05355580812758783,0.09282741150835491,0.564523286735907,242,0.09644312308405734
FOMC Stmt -> DXY [net],DXY,net_score,B,-0.01703626104058302,0.10080066935465548,0.8659340122861129,242,0.10859068059025057
FOMC Stmt -> DXY [net],DXY,net_score,C,-0.08105205352627237,0.11111311810757694,0.46645272672549487,242,0.11909709545745506
FOMC Stmt -> UST2Y [net],UST2Y,net_score,A,0.010762023571314793,0.014576117815383594,0.46103671582138095,242,0.19118125408607367
FOMC Stmt -> UST2Y [net],UST2Y,net_score,B,0.012622303816750877,0.01512923558103085,0.4049562888963312,242,0.19214974761220194
FOMC Stmt -> UST2Y [net],UST2Y,net_score,C,0.009246724538414991,0.018378310167252245,0.6153443892238907,242,0.19267781819934648
FOMC Stmt -> UST10Y [net],UST10Y,net_score,A,0.002686201787978129,0.012054648434510802,0.8238539793996433,242,0.021868710804881508
FOMC Stmt -> UST10Y [net],UST10Y,net_score,B,0.0023187421804426265,0.011105105561790252,0.8347847474794172,242,0.02541303249374316
FOMC Stmt -> UST10Y [net],UST10Y,net_score,C,-0.008126507763726346,0.013434403893370686,0.5458297534217037,242,0.03273422917168001
FOMC Stmt -> TIPS5Y [net],TIPS5Y,net_score,A,-0.0032148725712305335,0.019581467967215997,0.869781620012813,176,0.029983969166128666
FOMC Stmt -> TIPS5Y [net],TIPS5Y,net_score,B,-0.003527314340622271,0.020956582652725615,0.8665352879287742,176,0.03486898600633792
FOMC Stmt -> TIPS5Y [net],TIPS5Y,net_score,C,-0.01835275555491767,0.02413781334610124,0.4481218106477799,176,0.04244109033482024
FOMC Stmt -> TIPS10Y [net],TIPS10Y,net_score,A,0.0017001974085913106,0.014892837495731675,0.9092416880738039,176,0.018247526956188587
FOMC Stmt -> TIPS10Y [net],TIPS10Y,net_score,B,0.0025711372801761412,0.014998538513824993,0.8640928075799503,176,0.023669873316972567
FOMC Stmt -> TIPS10Y [net],TIPS10Y,net_score,C,-0.008153446417006473,0.017591731147566302,0.6436189884463959,176,0.029393843568527256
FOMC PC -> SP500 [net],SP500,net_score,A,0.5918416565421275,0.4311870146504067,0.1733689481571271,91,0.04561210809763694
FOMC PC -> SP500 [net],SP500,net_score,B,0.9249801003495002,0.6382441048081104,0.15090245696594168,91,0.08053255658044034
FOMC PC -> SP500 [net],SP500,net_score,C,0.8698749622350164,0.6598494658283172,0.19094698642248412,91,0.08085326408754512
FOMC PC -> EURUSD [net],EURUSD,net_score,A,0.19145452683150094,0.1202276316375613,0.11487319678050154,91,0.04887858902641384
FOMC PC -> EURUSD [net],EURUSD,net_score,B,0.20494591915406196,0.14364446201802328,0.15727011217658157,91,0.058256308916293964
FOMC PC -> EURUSD [net],EURUSD,net_score,C,0.37357056469690303,0.18199193214466472,0.04317963871652242,91,0.08859658455593611
FOMC PC -> DXY [net],DXY,net_score,A,-0.17941398662707855,0.11719402070599333,0.1293776792902027,91,0.04733341056888496
