term_stem,MeanDecreaseGini,term_original,direction,corpus
fund.rate,16.967188338685006,fund rate,-0.0013772352905730935,fomc_stmt
dudley.vice,7.379839780558461,dudley vice,0.0011886099566836574,fomc_stmt
develop.care,7.353452394387398,develop care,-0.012639346953967713,fomc_stmt
releas.inform,6.161704404091081,releas inform,1.937111283062142e-4,fomc_stmt
polici.remain,6.033891395780156,polici remain,0.008773928232887123,fomc_stmt
ongo.increas,4.854721817895794,ongo increas,0.006337785315937428,fomc_stmt
rate.action,4.5171707922700435,rate action,-0.028721140999287992,fomc_stmt
waller.vote,3.66465381083687,waller vote,-0.004102336963742665,fomc_stmt
expect.labor,3.6126319412147683,expect labor,0.0035170136541955747,fomc_stmt
hous.sector,3.596052697200761,hous sector,2.0642423752381122e-4,fomc_stmt
reserv.board,3.419840797947362,reserv board,-0.017201794728330316,fomc_stmt
polici.firm,3.247650536677512,polici firm,0.00783531573720982,fomc_stmt
econom.expans,3.107389753675241,econom expans,0.022918571826446327,fomc_stmt
econom.weak,3.0516703899483235,econom weak,-0.03341659278840822,fomc_stmt
short.term,2.9797522725764396,short term,0.029763219842301437,fomc_stmt
maintain.price,2.961862191885424,maintain price,0.013246043507926571,fomc_stmt
generat.econom,2.6498957535743286,generat econom,-0.03341659278840822,fomc_stmt
unanim.approv,2.596157263610923,unanim approv,0.004352845905184836,fomc_stmt
quarl.vote,2.463317605748929,quarl vote,-0.00288126761612875,fomc_stmt
measur.nonetheless,2.459880263491561,measur nonetheless,0.013246043507926571,fomc_stmt
condit.remain,2.457744912450526,condit remain,0,fomc_stmt
asset.purchas,2.457183243250277,asset purchas,0,fomc_stmt
governor.unanim,2.378277749724573,governor unanim,0.004352845905184836,fomc_stmt
object.vote,2.139425015307792,object vote,0.008647487475260715,fomc_stmt
chairman.william,1.9815193778391562,chairman william,-4.002518996119161e-4,fomc_stmt
provid.ongo,1.9114755265991368,provid ongo,0.013246043507926571,fomc_stmt
remain.stabl,1.7910600732838728,remain stabl,0,fomc_stmt
tighter.credit,1.5098633950799636,tighter credit,0.0026858633093737572,fomc_stmt
economi.remain,1.4748567121179992,economi remain,-0.020825423373604678,fomc_stmt
yellen.vote,1.30758136985797,yellen vote,0,fomc_stmt
rate.unchang,1.1253472363658943,rate unchang,0,fomc_stmt
action.support,1.048341009121198,action support,-0.0032074201645139644,fomc_stmt
modest.growth,1.0122399912369524,modest growth,0.004441945262078224,fomc_stmt
rate.charg,0.9333503943469126,rate charg,0.012118614305898605,fomc_stmt
recent.quarter,0.839689677806293,recent quarter,0.011567361542608378,fomc_stmt
chairman.alan,0.8216133123951752,chairman alan,0.003590300200785438,fomc_stmt
jefferson.alberto,0.8043065432891225,jefferson alberto,-0.004128838317334916,fomc_stmt
product.job,0.7973297880895351,product job,0.004441945262078224,fomc_stmt
reserv.posit,0.7867676444810744,reserv posit,0.003590300200785438,fomc_stmt
reserv.market,0.727065072225746,reserv market,0.02149099877856237,fomc_stmt
discount.action,0.6964326635919196,discount action,-0.09829375445733694,fomc_stmt
effect.immedi,0.6765234357937422,effect immedi,0.016431194774957816,fomc_stmt
auction.facil,0.6136587880721638,auction facil,-0.054512165318450614,fomc_stmt
adjust.credit,0.606591562734931,adjust credit,0.012118614305898605,fomc_stmt
exist.target,0.5984981651849092,exist target,0.0018176162510806053,fomc_stmt
percent.effect,0.5950646659139356,percent effect,0.016431194774957816,fomc_stmt
borrow.short,0.5408927811239226,borrow short,0.012118614305898605,fomc_stmt
term.auction,0.5129727062426097,term auction,-0.054512165318450614,fomc_stmt
mester.randal,0.5123834928861858,mester randal,0.0015535842829015791,fomc_stmt
downsid.risk,11.645737486401895,downsid risk,-0.00795145854085567,fomc_pc
committe.rais,9.348097723732833,committe rais,0.0032694807058865853,fomc_pc
high.accommod,5.6559625531705695,high accommod,2.582427582809841e-4,fomc_pc
half.centuri,5.649634696482351,half centuri,-0.005551956359646214,fomc_pc
rate.unchang,4.2835303293676565,rate unchang,0,fomc_pc
month.chang,3.9063312280839955,month chang,0.0024730728523450303,fomc_pc
modest.increas,3.4357261827364907,modest increas,0.0026768686290337992,fomc_pc
neutral.level,3.134863134285061,neutral level,0.0033213854316241674,fomc_pc
tighten.abrupt,1.5335194173630646,tighten abrupt,0.0015494412280516138,fomc_pc
consum.face,0.7107842526860608,consum face,-0.0025401086788190974,fomc_pc
downward.slide,0.6118973585681308,downward slide,-0.002761608987491111,fomc_pc
remain.unchang,45.15430021563334,remain unchang,-1.4102062375087295e-4,ecb_stmt
govern.council,22.307217768672704,govern council,-5.020483025871981e-4,ecb_stmt
facil.rate,5.6091646336076755,facil rate,-0.03547904429389336,ecb_stmt
under.price,4.553796712597279,under price,0.006257068290515144,ecb_stmt
transmiss.mechan,4.477127512803338,transmiss mechan,-0.03475312181785485,ecb_stmt
term.target,4.470093891449239,term target,-0.002786068848371289,ecb_stmt
futur.polici,2.2161984792345852,futur polici,0.007197459149271882,ecb_stmt
partial.buffer,2.1895940400178855,partial buffer,-0.007745680891861557,ecb_stmt
inflat.expect,2.1510855043805965,inflat expect,-0.0113535348626017,ecb_stmt
minimum.reserv,2.0155739739231744,minimum reserv,0.011962403642986879,ecb_stmt
bank.ecb,1.9597960531682252,bank ecb,-0.006066731350713301,ecb_stmt
upward.pressur,1.9441447857484122,upward pressur,0.023512310608629385,ecb_stmt
inflat.suggest,1.7537687881696706,inflat suggest,-0.00711872846212191,ecb_stmt
rate.suffici,1.7433652119564758,rate suffici,-0.0035689204755392973,ecb_stmt
net.asset,1.7212983205134662,net asset,0,ecb_stmt
persist.upward,1.5301191996293466,persist upward,0.005203698820490388,ecb_stmt
stabilis.sustain,1.4814003284073658,stabilis sustain,-0.01423745692424382,ecb_stmt
sustain.basi,1.44274916402053,sustain basi,-0.00711872846212191,ecb_stmt
domest.inflat,1.3842222540259916,domest inflat,-0.006355917279167007,ecb_stmt
favour.liquid,1.3304530478444636,favour liquid,0,ecb_stmt
upward.shift,1.3266313500805487,upward shift,0.005203698820490388,ecb_stmt
