corpus_key,corpus,target,text_input,n_forecasts,xw_r2,xw_rmse,naive_rmse
fomc_stmt,FOMC STMT,bps_next,text_clean,204,0.304,20.0113,24.0473
fomc_stmt,FOMC STMT,bps_next2,text_clean,203,0.174,21.6256,23.855
fomc_stmt,FOMC STMT,y2_next,text_clean,204,-0.326,0.0608,0.0529
fomc_stmt,FOMC STMT,y2_next2,text_clean,203,-0.205,0.0524,0.0478
fomc_pc,FOMC PC,bps_next,text_clean,53,0.237,26.5008,30.6334
fomc_pc,FOMC PC,bps_next2,text_clean,59,0.148,27.1026,29.615
fomc_pc,FOMC PC,y2_next,text_clean,60,-0.207,0.0528,0.0485
fomc_pc,FOMC PC,y2_next2,text_clean,59,-0.132,0.0513,0.0486
ecb_stmt,ECB STMT,bps_next,text_clean,245,0.114,15.1838,16.1639
ecb_stmt,ECB STMT,bps_next2,text_clean,244,0.083,15.5534,16.2795
ecb_stmt,ECB STMT,y2_next,text_clean,209,-0.091,2.5578,2.4542
ecb_stmt,ECB STMT,y2_next2,text_clean,210,-0.148,2.6166,2.4483
ecb_pc,ECB PC,bps_next,text_clean,220,0.054,16.0681,16.5617
ecb_pc,ECB PC,bps_next2,text_clean,220,0.014,15.7993,15.9469
ecb_pc,ECB PC,y2_next,text_clean,189,-0.172,2.6075,2.4154
ecb_pc,ECB PC,y2_next2,text_clean,188,-0.023,2.5095,2.4879
