corpus,target,n,r2_full,adj_r2_full,r2_full_fwd,adj_r2_full_fwd,r2_horse,adj_r2_horse
FOMC stmt [BERT],bps_next,203,0.4829,0.4777,0.4679,0.4598,0.468,0.4544
FOMC stmt [BERT],bps_next2,202,0.3226,0.3158,0.3141,0.3036,0.3253,0.3079
FOMC stmt [BERT],y2_next,203,0.0178,0.008,0.0375,0.0228,0.0518,0.0275
FOMC stmt [BERT],y2_next2,202,0.0126,0.0027,0.0113,-0.0038,0.0166,-0.0088
FOMC PC   [BERT],bps_next,60,0.6383,0.6256,0.6643,0.6464,0.6755,0.6454
FOMC PC   [BERT],bps_next2,59,0.3576,0.3347,0.3881,0.3548,0.5065,0.4599
FOMC PC   [BERT],y2_next,60,0.0158,-0.0187,0.0253,-0.0269,0.0446,-0.0438
FOMC PC   [BERT],y2_next2,59,0.0077,-0.0278,0.1198,0.0718,0.1353,0.0538
ECB stmt  [BERT],bps_next,245,0.3233,0.3177,0.3242,0.3157,0.3299,0.3158
ECB stmt  [BERT],bps_next2,244,0.2763,0.2703,0.2849,0.2759,0.2955,0.2806
ECB stmt  [BERT],y2_next,204,0.1156,0.1068,0.1377,0.1247,0.1901,0.1694
ECB stmt  [BERT],y2_next2,204,0.0098,-0,0.0555,0.0412,0.0873,0.064
ECB PC    [BERT],bps_next,220,0.3978,0.3923,0.4075,0.3993,0.4136,0.3999
ECB PC    [BERT],bps_next2,220,0.3118,0.3054,0.3137,0.3041,0.3279,0.3122
ECB PC    [BERT],y2_next,188,0.1242,0.1147,0.1243,0.11,0.15310000000000001,0.1299
ECB PC    [BERT],y2_next2,186,0.0426,0.0321,0.0478,0.0321,0.0503,0.0239
