corpus,target,n,r2_full,adj_r2_full,r2_full_fwd,adj_r2_full_fwd,r2_horse,adj_r2_horse
FOMC stmt,bps_next,204,0.5262,0.5215,NA,NA,0.5284,0.5189
FOMC stmt,bps_next2,203,0.3495,0.343,NA,NA,0.3609,0.348
FOMC stmt,y2_next,204,0.0283,0.0186,NA,NA,0.0414,0.0221
FOMC stmt,y2_next2,203,0.0138,0.004,NA,NA,0.0141,-0.0058
FOMC PC  ,bps_next,53,0.5484,0.5304,NA,NA,0.5785,0.5434
FOMC PC  ,bps_next2,59,0.3054,0.2805,NA,NA,0.3619,0.3147
FOMC PC  ,y2_next,60,0.0354,0.0016,NA,NA,0.07,0.0023
FOMC PC  ,y2_next2,59,0.0047,-0.0308,NA,NA,0.0244,-0.0479
ECB stmt ,bps_next,245,0.3253,0.3197,NA,NA,0.3396,0.3286
ECB stmt ,bps_next2,244,0.2778,0.2718,NA,NA,0.2907,0.2788
ECB stmt ,y2_next,208,0.0471,0.0379,NA,NA,0.0852,0.0671
ECB stmt ,y2_next2,209,0.0124,0.0029,NA,NA,0.0563,0.0378
ECB PC   ,bps_next,220,0.3514,0.3454,NA,NA,0.3533,0.3413
ECB PC   ,bps_next2,220,0.2866,0.28,NA,NA,0.2911,0.2779
ECB PC   ,y2_next,189,0.0529,0.0427,NA,NA,0.0622,0.0418
ECB PC   ,y2_next2,188,0.0073,-0.0034,NA,NA,0.0118,-0.0098
